A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,C422_REL_P_WHLSF,C423,C423B,C423B_DEL,C423B_DEL_CA,C423B_DEL_DMC,C423B_DEL_SB,C423B_DEL_SF,C423B_WHL,C423B_WHL_SB,C423B_WHL_SF,C423_DEL,C423_FILL,C424,C424_DT,C424_MW,C42_0,C42_1,C42_2,C42_3,C42_4,C4401,C4402,C446,C5,C501,C501_VAMPDO,C504,C505,C506,C507,C508,C508_VAMPDO,C509,C513A,C514,C52,C520,C520MIF_MOWEI,C520MIF_SJRBASE,C520MIF_SJRWQ2,C520MIF_SJR_WQ1,C520MIF_SPULSE,C520MIF_VAMPDO,C520_NP_DV,C520_P_DV,C522,C528,C528_NP_DV,C528_P_DV,C53,C530,C532,C534,C540,C545,C545_NP_DV,C545_P_DV,C548,C550,C561,C562,C564,C566,C566_NP_DV,C566_P_DV,C570,C573,C580,C582,C583,C585,C587,C587A,C588,C589,C590,C590F,C590_16B,C591,C595,C5_BASE,C5_DELTA,C5_S32OTH,C5_S32SWP,C5_SWP,C5_UPSTREAM,C5_WTS,C5_WTS_STG1,C5_WTS_STG2,C6,C603,C603E,C603_MAIN,C603_MAINSJRR,C603_MAINSMFL,C605A,C605A_E,C605A_MAIN,C605A_SJRWQ1,C605A_VAMPDO,C605B,C605C,C607,C607BC,C607BVAMP,C608,C608BC,C609A,C609B,C610,C611,C614,C614_NP_DV,C614_P_DV,C619,C620,C620_NP_DV,C620_P_DV,C630,C630_NP_DV,C630_P_DV,C636,C636_NP_DV,C636_P_DV,C637,C637_NP_DV,C637_P_DV,C639,C639_NP_DV,C639_P_DV,C639_SJRWQ2,C639_VAMPDO,C644,C6_EXP,C6_IBU,C6_PP135,C6_REM,C6_VALVE,C6_WTS,C6_WTS_STG1,C6_WTS_STG2,C7,C700,C700A,C701,C702,C703,C704,C705,C706,C707,C708,C708_SJRWQ1,C708_VAMPDO,C710,C75,C76,C8,C800,C801,C802,C803,C804,C805,C806,C807,C808,C809,C81,C810,C811,C812,C813,C814,C815,C818,C820,C821,C822,C824,C825,C826,C827,C828,C829,C830,C831,C832,C833,C834,C835,C836,C837,C838,C839,C840,C841,C842,C843,C844
C,,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31Oct1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30Nov1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31Dec1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31Jan1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
