A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,C844,C845,C846,C847,C848,C848_TVC,C848_TVC_F,C848_TVC_F_CVP,C848_TVC_F_SWP,C848_TVC_R,C848_TVC_R_CVP,C848_TVC_R_SWP,C849,C850,C851,C851_SW,C851_SW_F,C851_SW_F_CVP,C851_SW_F_SWP,C851_SW_R,C851_SW_R_CVP,C851_SW_R_SWP,C852,C853,C854,C855,C855_CVC,C855_CVC_F,C855_CVC_F_CVP,C855_CVC_F_SWP,C855_CVC_R,C855_CVC_R_CVP,C855_CVC_R_SWP,C856,C857,C858,C859,C860,C861,C861_AEI,C861_AEI_F,C861_AEI_F_CVP,C861_AEI_F_SWP,C861_AEI_R,C861_AEI_R_CVP,C861_AEI_R_SWP,C862,C863,C864,C865,C866,C867,C868,C869,C875A,C875B,C876,C877,C878,C879,C880,C881,C882,C883,C884,C885,C886,C887,C888,C889,C890,C891,C892,C893,C894,C895,C899,C9,C910,C92,C920,C930,C931_TVC,C931_TVC_F,C931_TVC_R,C933,C935,C936_SW,C936_SW_F,C936_SW_R,C940,C941A_CVC,C941A_CVC_F,C941A_CVC_R,C941B_CVC,C941B_CVC_F,C941B_CVC_R,C9_BASE,C9_DELTA,C9_UPSTREAM,CV_IO_F_CVP,CV_IO_F_SWP,CV_IO_R_CVP,CV_IO_R_SWP
C,,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31Oct1921,5.253,0.0000,4179.6,4160.5,4099.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4099.9,3967.3,3198.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.1,3198.1,3182.9,3182.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.3,3158.3,3158.3,3051.3,3051.3,3051.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046.7,2969.7,2967.5,2967.5,132.55,132.55,115.31,78.39,2033.3,934.1,2033.3,1813.6,1784.0,1781.3,1774.8,1676.2,1671.1,819.6,620.1,620.1,423.9,352.4,324.3,322.5,934.1,931.7,931.7,1001.0,998.0,95.79,11.84,2706,66.0,25.0,34.1,26.3,0.0,0.0,0.0,11.6,7.8,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1500,2706,2706,0.0,0.0,0.0,0.0
2,30Nov1921,3.857,0.0000,5056.4,5056.4,5056.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5056.4,5024.3,5024.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5024.3,5024.3,5012.2,2861.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2822.9,2822.9,2822.9,2822.9,2822.9,2822.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819.3,2819.3,2817.5,2817.5,32.10,32.10,32.10,0.00,1678.6,1138.9,1678.6,1678.6,1678.6,1678.6,1673.4,1606.0,1601.9,1098.1,891.9,484.2,281.9,281.9,252.8,251.4,1138.9,1137.0,1137.0,1078.0,1075.6,75.46,3.48,1925,54.6,67.1,28.2,21.7,0.0,0.0,0.0,9.6,6.5,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1925,1925,1925,0.0,0.0,0.0,0.0
3,31Dec1921,3.945,0.0000,4148.2,4129.3,3855.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3855.1,3742.6,3184.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3184.6,3184.6,3176.0,3176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.1,3139.1,3139.1,3069.5,3069.5,3069.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3066.9,3046.4,3045.1,3045.1,112.54,112.54,95.30,64.08,2151.4,893.6,2151.4,1993.2,1963.7,1961.8,1958.1,1924.9,1922.0,1419.6,1220.1,685.6,490.1,490.1,459.8,458.8,893.6,892.3,892.3,888.3,886.6,36.43,221.52,2000,13.2,190.0,6.8,5.3,0.0,0.0,0.0,2.3,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,2000,0.0,0.0,0.0,0.0
4,31Jan1922,5.096,0.0000,270.4,270.4,256.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.4,232.8,182.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.5,182.5,174.4,174.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.4,174.4,174.4,174.4,174.4,174.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,171.1,169.8,169.8,23.62,23.62,15.62,1.36,67.7,102.2,67.7,67.7,67.6,66.9,63.5,48.4,45.7,41.8,41.8,41.8,11.4,11.4,4.3,3.3,102.2,100.9,100.9,99.9,98.3,46.56,3.30,1700,13.2,40.6,6.8,5.3,0.0,0.0,0.0,2.3,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1700,1700,1700,0.0,0.0,0.0,0.0
