A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,D403D,D404,D406,D406A_MS,D406B,D407,D408,D408_C6,D408_C7,D408_C8,D408_CC,D408_CVP,D408_CVP_C6,D408_CVP_C7,D408_CVP_C8,D408_CYC_MW,D408_DS,D408_DS_C6,D408_DS_C7,D408_DS_C8,D408_DS_EXP1,D408_DS_EXP2,D408_ECC,D408_ECC_C6,D408_ECC_C7,D408_ECC_C8,D408_OR,D408_OR_CC,D408_OR_CVP,D408_OR_DS,D408_OR_ECC,D408_OR_HCL,D408_OR_LCL,D408_OR_MCL,D408_OR_P,D408_OR_P_HCL,D408_OR_P_LCL,D408_OR_TX,D408_P,D408_P_DEL,D408_P_DEL_CVP,D408_P_DEL_SWP,D408_P_STR,D408_P_STR_CVP,D408_P_STR_SWP,D408_P_WHL,D408_P_WHL_SB,D408_P_WHL_SB_E1,D408_P_WHL_SB_E2,D408_P_WHL_SF,D408_P_WHL_SF_E1,D408_P_WHL_SF_E2,D408_RS,D408_RS_CVP,D408_RS_ECC,D408_RS_HCL,D408_RS_LCL,D408_RS_MCL,D408_RS_TX,D408_TX,D408_TX_C6,D408_TX_C7,D408_TX_C8,D408_TX_H,D408_TX_L,D408_VC,D408_VC_CC,D408_VC_CVP,D408_VC_DS,D408_VC_HCL,D408_VC_LCL,D408_VC_MCL,D408_VC_P,D408_VC_P_HCL,D408_VC_P_LCL,D408_VC_TX,D409,D409B,D409_BASE,D409_CYC_MW,D409_DELTA,D409_UPSTREAM,D410,D412,D413,D416,D418,D418UP,D418_CVP,D418_CVPUP,D418_CVP_IF,D418_CVP_TD,D418_CVP_TDC7,D418_CYC_MW,D418_EXP1,D418_EXP1_IF,D418_EXP1_TD,D418_EXP2,D418_EXP2_IF,D418_EXP2_TD,D418_IF,D418_TD,D418_WTS,D418_WTS_IF,D418_WTS_STG1,D418_WTS_STG2,D418_WTS_TD,D419,D419UP,D419_0,D419_1,D419_CVC,D419_CVCRELS,D419_CVCSURP,D419_CVCSURP1,D419_CVCSURP2,D419_CVCSURP_IF,D419_CVCSURP_TD,D419_CVC_IF,D419_CVC_TD,D419_CVP,D419_CVPDED,D419_CVPDEDEX1IF,D419_CVPDEDEX1TD,D419_CVPDEDEX2IF,D419_CVPDEDEX2TD,D419_CVPDED_EXP1,D419_CVPDED_EXP2,D419_CVPDED_IF,D419_CVPDED_TD,D419_CVPWHL,D419_CVPWHL_IF,D419_CVPWHL_TD,D419_CVP_IF,D419_CVP_TD,D419_CVP_TDC7,D419_CYC_MW,D419_EXP1,D419_EXP1_IF,D419_EXP1_TD,D419_EXP1_TDC7,D419_EXP2,D419_EXP2_IF,D419_EXP2_TD,D419_EXP2_TDC7,D419_IF,D419_SWP,D419_SWPUP,D419_SWP_IF,D419_SWP_TD,D419_SWP_TDC7,D419_TD,D419_WHLRELS,D419_WHLSURP,D419_WHLSURP1,D419_WHLSURP2,D419_WHLSURP_IF,D419_WHLSURP_TD,D419_WTS,D419_WTS_IF,D419_WTS_STG1,D419_WTS_STG2,D419_WTS_TD,D419_WTS_TD1,D419_WTS_TD2,D42,D420,D420_C6,D420_C7,D420_C8,D446A,D506A,D506B,D506C,D507,D509,D510,D510_AG,D510_GWR,D510_MI,D510_MI_C,D510_MI_N,D510_MI_S,D511,D511_ND,D511_PAG,D511_RIV,D512,D514A,D514A_1,D514A_2,D514B,D520A,D520A1,D520B,D520C,D520_CSJSEWD_PAG,D520_SEWD_PMI,D521,D523,D523_MI_A,D523_MI_B,D523_PAG,D528,D528A,D528A_MI_A,D528A_RIV,D530_VAMP,D531,D531_MI_A,D531_MI_B,D531_ND,D531_PAG,D533,D533_MI_A,D533_PAG,D535,D535_MI_A,D535_PAG,D540A,D540B,D545,D545A,D545A_MI_A,D545A_RIV,D549,D549_MI_A,D549_MI_B,D549_ND,D549_PAG,D551,D551_MI_A,D551_PAG,D561,D561_BCR,D561_DAU212,D561_MI,D561_PAG,D562,D562A,D562A_MI_A,D562A_RIV,D566,D570,D571,D571_MI_A,D571_MI_B,D571_ND,D571_PAG,D572,D572_RF,D574,D574_MI_A,D574_PAG
C,,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY,FLOW-DELIVERY
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31Oct1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30Nov1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31Dec1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31Jan1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
