"date is CalLite-CV time series. Unlike the other csv's I've left the original labels, although I replaced the .'s with _'s to fit with the nomenclature I think Sadie prefers, since we might use these differently than I've laid out in the next sentence (and we'll probably need the DCC time series in particular separated out for apportioning Sacramento River fish between Delta regions). It should be as 'simple' as this: North Delta flow = Hood.Outflow, Central Delta flow = Eastside.Outflow + DCC.Diversion, and South Delta flow = SJR_Calaveras.Outflow + SJR_FlowSplit.C417B + CentralDelta.Outflow. If the Central Delta is really just a constituent part of the South Delta then replace CentralDelta.Outflow with Eastside.Outflow + DCC.Diversion. I hope that's all there is to it... NOTE the one (and only one) negative value for Eastside.Outflow, in the first time step",,,,,,
date,Hood_Outflow,Eastside_Outflow,DCC_Diversion,SJR_Calaveras_Outflow,SJR_FlowSplit_C417B,CentralDelta_Outflow
10/1/2014 0:00,10485,-107.2,3646,980.6,234.9,3539
11/1/2014 0:00,10312,79.16,3659,1541,371.7,3754
12/1/2014 0:00,11745,90.13,2393,634.9,670.2,2529
1/1/2015 0:00,15489,484.6,2895,848.9,706.3,3440
2/1/2015 0:00,29088,1447,4710,1457,1070,6271
3/1/2015 0:00,23979,403.6,4019,1032,1047,4430
4/1/2015 0:00,25431,946.2,4219,3184,2705,5260
5/1/2015 0:00,21001,458.5,3623,1424,1394,4087
6/1/2015 0:00,12841,364.8,2537,917.6,586.2,3000
7/1/2015 0:00,11654,533.7,5505,1070,693.3,6164
8/1/2015 0:00,10230,246.7,5088,1139,745,5481
9/1/2015 0:00,7109,212.4,4174,1266,700.3,4499
10/1/2015 0:00,8835,234.5,3301,1821,489.3,3617
11/1/2015 0:00,27569,1013,4505,2526,621.4,5630
12/1/2015 0:00,21468,472.4,3686,820.7,762.4,4171
1/1/2016 0:00,21050,670.1,3632,874.7,744.5,4318
2/1/2016 0:00,73861,2477,10662,2252,1386,13226
3/1/2016 0:00,52930,1866,7872,1810,1383,9763
4/1/2016 0:00,28793,1088,4660,3766,3466,5764
5/1/2016 0:00,20217,840.8,3518,2472,2324,4381
6/1/2016 0:00,17493,1293,3156,2367,1631,4534
7/1/2016 0:00,20778,447.3,8179,1046,675.6,8736
8/1/2016 0:00,15028,461,6494,1615,1086,7096
9/1/2016 0:00,8696,552.3,4639,1641,900.8,5332
10/1/2016 0:00,12835,243.2,4143,2046,551.3,4442
11/1/2016 0:00,19005,439.8,5514,2841,673.7,6052
12/1/2016 0:00,21190,350,3651,1596,1424,4032
1/1/2017 0:00,18496,316.4,3292,1721,1614,3629
2/1/2017 0:00,19694,351.8,3451,1837,1706,3827
3/1/2017 0:00,48447,1910,7278,3833,3394,9235
4/1/2017 0:00,23116,1004,3905,3279,3037,4922
5/1/2017 0:00,19290,627.2,3395,1858,1780,4044
6/1/2017 0:00,15533,588.4,2895,1265,838.3,3569
7/1/2017 0:00,17153,394.7,7117,962.7,617,7634
