"date is the CalLite-CV date column, the next column with the name of a CalLite-CV element is in this case the OUTFLOW node because the LocalInflow one isn't saving results and when I run the model it has negative values pretty regularly (this is different from other nodes but this node is unique with only two inflows so maybe that's defensible... but note negative value in (only) first time step...), cs_date is for my reference to avoid screwing up the 10/2014=10/1925 matching and it sounds like you can use it for something too, and the CalSim II records corresponding to the local inflows to the CalLite-CV element are listed afterward (I've got them in cfs now, to match the CalLite-CV data). 'matches for other csvs.csv' contains the mappings between the DSM streams and CalSim II elements, as a one-stop summary for which DSM streams are showing up in which specific .csvs like this one. I renamed the CalSim II elements that map to DSM streams in this csv; everything that still has a CalSim II name is one of the elements that contributes to the total (the denominator) but is NOT a DSM stream. The CalSim II run I'm using at the moment is the most recent representation of current operations I've received; probably we'll be choosing a different baseline in the future but the matches csv mentioned above contains the CalSim II match for DSM streams, so I can go back and re-pull those time series if/when necessary. NOTE that matching 2014 to 1925 results in the last ~7 years of the CalLite-CV run not having an equivalent CS2 number... EXAMPLE CALCULATION: For 11/2014, Mokelumne River has 240.7 cfs, the total of all inflows sum(D4:E4)=269.4, and 240.7/269.4=0.893467, the fraction of total CalSim II inflow in the Mokelumne River. Applying that fraction to the CalLite-CV Eastside Outflow number we get Mokelumne River DSM flow = 0.893467*79.16=70.73 cfs.",,,,
date,Eastside,cs_date,Mokelumne River,Cosumnes River
10/1/2014 0:00,-107.2,31Oct1925,157.9,11.4
11/1/2014 0:00,79.16,30Nov1925,240.7,28.7
12/1/2014 0:00,90.13,31Dec1925,230.7,62.5
1/1/2015 0:00,484.6,31Jan1926,223.5,62.4
2/1/2015 0:00,1447,28Feb1926,260.5,894.9
3/1/2015 0:00,403.6,31Mar1926,215.4,346.6
4/1/2015 0:00,946.2,30Apr1926,109.2,707
5/1/2015 0:00,458.5,31May1926,92.4,154.6
6/1/2015 0:00,364.8,30Jun1926,0,8.1
7/1/2015 0:00,533.7,31Jul1926,0,0
8/1/2015 0:00,246.7,31Aug1926,0,0
9/1/2015 0:00,212.4,30Sep1926,5.1,0
10/1/2015 0:00,234.5,31Oct1926,104.3,11.5
11/1/2015 0:00,1013,30Nov1926,213.8,280.1
12/1/2015 0:00,472.4,31Dec1926,173.6,236.2
1/1/2016 0:00,670.1,31Jan1927,171.3,537.3
2/1/2016 0:00,2477,28Feb1927,198.7,2416.8
3/1/2016 0:00,1866,31Mar1927,155,1202.5
4/1/2016 0:00,1088,30Apr1927,345,1849.8
5/1/2016 0:00,840.8,31May1927,988.1,645.8
6/1/2016 0:00,1293,30Jun1927,998.9,221.9
7/1/2016 0:00,447.3,31Jul1927,431.9,11.1
8/1/2016 0:00,461,31Aug1927,509.3,3.3
9/1/2016 0:00,552.3,30Sep1927,538.3,0
10/1/2016 0:00,243.2,31Oct1927,173.7,11.8
11/1/2016 0:00,439.8,30Nov1927,362.1,137.9
12/1/2016 0:00,350,31Dec1927,243,219.1
1/1/2017 0:00,316.4,31Jan1928,246.1,192.8
2/1/2017 0:00,351.8,29Feb1928,261.6,397.6
3/1/2017 0:00,1910,31Mar1928,743.9,2358.7
4/1/2017 0:00,1004,30Apr1928,315.6,1243.2
5/1/2017 0:00,627.2,31May1928,137.9,322.3
6/1/2017 0:00,588.4,30Jun1928,224.8,50.8
7/1/2017 0:00,394.7,31Jul1928,2.8,1.6
8/1/2017 0:00,190.8,31Aug1928,0,0
9/1/2017 0:00,580.2,30Sep1928,5.2,0
10/1/2017 0:00,138.7,31Oct1928,161.8,11.5
11/1/2017 0:00,409.3,30Nov1928,334.3,29.3
12/1/2017 0:00,243.5,31Dec1928,229.1,78.2
1/1/2018 0:00,82.76,31Jan1929,226.9,109.7
2/1/2018 0:00,354,28Feb1929,235.7,313
3/1/2018 0:00,382.4,31Mar1929,214.5,295.2
4/1/2018 0:00,536.7,30Apr1929,121.3,396.4
5/1/2018 0:00,384.2,31May1929,103.9,253.1
6/1/2018 0:00,756,30Jun1929,0,114.1
7/1/2018 0:00,293.2,31Jul1929,0,1.6
8/1/2018 0:00,240.9,31Aug1929,0,0
9/1/2018 0:00,324.7,30Sep1929,4.7,0
10/1/2018 0:00,154.5,31Oct1929,109.8,0
