"date is the CalLite-CV date column, the next column with the name of a CalLite-CV element is the LocalInflow node, cs_date is for my reference to avoid screwing up the 10/2014=10/1925 matching and it sounds like you can use it for something too, and the CalSim II records corresponding to the local inflows to the CalLite-CV element are listed afterward (I've got them in cfs now, to match the CalLite-CV data). 'matches for other csvs.csv' contains the mappings between the DSM streams and CalSim II elements, as a one-stop summary for which DSM streams are showing up in which specific .csvs like this one. I renamed the CalSim II elements that map to DSM streams in this csv; everything that still has a CalSim II name is one of the elements that contributes to the total (the denominator) but is NOT a DSM stream. EXAMPLE CALCULATION: For 10/2014, Cow Creek has 27.1 cfs, the total of all inflows sum(D3:I3)=405.8, and 27.1/405.8=0.066668, the fraction of total CalSim II inflow in Cow Creek. Applying that fraction to the CalLite-CV RedBluff LocalInflow number we get Cow Creek DSM flow = 0.066668*259.7=17.31 cfs.",,,,,,,,,,
date,RedBluff,cs_date,Cow Creek,Cottonwood Creek,Battle Creek,Paynes Creek,I109,I112,,
10/1/2014 0:00,259.7,31Oct1925,27.1,181,190.5,6.8,0,0.71,,
11/1/2014 0:00,535.9,30Nov1925,190.4,135,215.7,17.3,121,9.76,,
12/1/2014 0:00,790.6,31Dec1925,189.5,433,234.5,46.1,525,15.17,,
1/1/2015 0:00,1797,31Jan1926,467.1,695,392.1,53.7,1516,51.1,,
2/1/2015 0:00,4150,28Feb1926,1044.9,3119,662.0,168.4,6878,173,,
3/1/2015 0:00,1662,31Mar1926,196.3,952,304.0,27.1,60,52.2,,
4/1/2015 0:00,1925,30Apr1926,720.0,777,693.2,82.9,2018,34.73,,
5/1/2015 0:00,1087,31May1926,54.4,204,236.4,7.3,1038,1.76,,
6/1/2015 0:00,436.9,30Jun1926,15.4,73,150.5,2.0,338,0.29,,
7/1/2015 0:00,221,31Jul1926,13.1,71,148.5,0.4,200,0.03,,
8/1/2015 0:00,125.4,31Aug1926,12.1,59,145.9,0.2,312,0,,
9/1/2015 0:00,110.9,30Sep1926,15.1,58,149.7,0.7,220,0,,
10/1/2015 0:00,190.8,31Oct1926,45.3,88,191.7,7.0,299,0.19,,
11/1/2015 0:00,4824,30Nov1926,1509.8,719,715.8,73.8,1027,80.13,,
12/1/2015 0:00,3599,31Dec1926,566.7,2113,415.1,89.6,4072,86.66,,
1/1/2016 0:00,3755,31Jan1927,1315.2,2425,808.0,120.9,2882,189.33,,
2/1/2016 0:00,10557,28Feb1927,2303.6,5103,1259.8,337.3,10755,273.25,,
3/1/2016 0:00,6040,31Mar1927,749.3,2582,626.0,64.0,2630,139.3,,
