"date is the CalLite-CV date column, the next column with the name of a CalLite-CV element is the LocalInflow data from the CT_noCC run for the CalLite-CV element from which we're going to be deriving these DSM stream flow time series in cfs (I couldn't find an output file in the Basin Study documentation for this like I did for the Outflow data in the master csv but spot checks indicated that the GoldSim model file I'm pulling these from have identical data to those outputs), cs_date is for my reference to avoid screwing up the 10/2014=10/1925 matching and it sounds like you can use it for something too, and the CalSim II records corresponding to the local inflows to the CalLite-CV element are listed afterward (I've got them in cfs now, to match the CalLite-CV data). 'matches for other csvs.csv' contains the mappings between the DSM streams and CalSim II elements, as a one-stop summary for which DSM streams are showing up in which specific .csvs like this one. I renamed the CalSim II elements that map to DSM streams in this csv; everything that still has a CalSim II name is one of the elements that contributes to the total (the denominator) but is NOT a DSM stream. The CalSim II run I'm using at the moment is the most recent representation of current operations I've received; probably we'll be choosing a different baseline in the future but the matches csv mentioned above contains the CalSim II match for DSM streams, so I can go back and re-pull those time series if/when necessary. C17603 is Sites Reservoir outflows into the Sacramento in this region; it's zeroed out in the run I'm using but that should be re-checked if a different run is used. NOTE that matching 2014 to 1925 results in the last ~7 years of the CalLite-CV run not having an equivalent CS2 number... EXAMPLE CALCULATION: For 10/2014, Elder Creek has 13.8 cfs, the total of all WiSl inflows sum(D3:M3)=550.4, and 13.8/550.4=0.025155, the fraction of total CalSim II inflow in Elder Creek. Applying that fraction to the CalLite-CV WilkinsSlough LocalInflow number we get Elder Creek DSM flow = 0.25155*189.9=4.78 cfs.",,,,,,,,,,,,,,
date,WilkinsSlough,cs_date,Elder Creek,Thomes Creek,Antelope Creek,Mill Creek,Deer Creek,Big Chico Creek,Stony Creek,C184A,I118,I123,,
10/1/2014 0:00,189.9,31Oct1925,13.8,29.5,32.6,79.5,84.4,19.3,128,93.4,0,70,,
11/1/2014 0:00,288.7,30Nov1925,13.6,45.1,43.9,80.2,120.2,40.5,236,252.3,0,0,,
12/1/2014 0:00,586.6,31Dec1925,35.7,114.6,84.9,135.1,149.3,63.9,25,430.6,0,86,,
1/1/2015 0:00,1392,31Jan1926,66.2,139.8,185.2,267.1,209.1,87.1,225,663.3,0,636,,
2/1/2015 0:00,4068,28Feb1926,357.8,1082.2,208.2,354.1,698.1,283.6,1676,0.0,3389,1828,,
3/1/2015 0:00,1148,31Mar1926,117.7,363.6,77.9,174.4,255.9,86.9,26,374.1,8,68,,
4/1/2015 0:00,1529,30Apr1926,100.4,514.4,214.9,437.5,751.5,224.2,18,1716.0,0,961,,
5/1/2015 0:00,1039,31May1926,20.1,110.4,58.7,174.9,178.2,29.5,28,492.3,0,119,,
6/1/2015 0:00,551.1,30Jun1926,5.5,26.5,28.2,120.6,91.1,13.3,12,759.4,0,227,,
7/1/2015 0:00,218.8,31Jul1926,2.0,6.0,21.6,94.2,71.7,11.7,0,665.2,0,241,,
8/1/2015 0:00,276.5,31Aug1926,0.6,1.0,20.3,67.0,67.6,11.4,0,551.9,0,75,,
9/1/2015 0:00,198.9,30Sep1926,0.2,0.3,21.2,62.9,69.1,11.9,23,327.7,0,565,,
10/1/2015 0:00,181.3,31Oct1926,3.6,7.7,33.6,82.0,87.1,19.9,0,10.3,0,132,,
11/1/2015 0:00,3467,30Nov1926,111.4,370.7,187.2,341.7,512.3,172.4,11,1177.0,721,970,,
12/1/2015 0:00,3003,31Dec1926,204.2,655.0,165.1,262.7,290.3,124.2,1360,1553.0,758,0,,
1/1/2016 0:00,3594,31Jan1927,245.5,518.0,416.7,601.0,470.4,196.1,846,0.0,612,220,,
2/1/2016 0:00,12038,28Feb1927,565.2,1709.3,417.0,709.2,1398.2,568.1,4197,0.0,13148,1631,,
3/1/2016 0:00,5352,31Mar1927,314.0,970.3,183.6,410.8,603.0,204.7,16,0.0,1890,1608,,
4/1/2016 0:00,1486,30Apr1927,163.7,838.9,207.0,421.4,723.7,215.9,18,0.0,1948,3575,,
5/1/2016 0:00,1397,31May1927,86.9,476.8,142.8,425.2,433.2,71.7,17,515.1,0,615,,
6/1/2016 0:00,861.6,30Jun1927,32.0,153.8,58.6,250.5,189.2,27.5,12,1116.4,0,224,,
7/1/2016 0:00,476.2,31Jul1927,10.3,30.8,34.4,150.0,114.2,18.6,11,878.8,0,39,,
8/1/2016 0:00,561.3,31Aug1927,5.1,8.4,28.6,94.5,95.4,16.0,12,563.0,0,0,,
9/1/2016 0:00,447.7,30Sep1927,3.4,5.0,27.6,81.6,89.6,15.5,23,446.0,0,101,,
10/1/2016 0:00,416.3,31Oct1927,3.2,6.9,37.0,90.3,95.9,21.9,14,44.4,0,67,,
11/1/2016 0:00,1478,30Nov1927,127.0,422.4,120.1,219.2,328.7,110.6,213,694.3,0,138,,
12/1/2016 0:00,2260,31Dec1927,68.2,218.8,120.7,192.2,212.3,90.9,226,1179.8,407,29,,
1/1/2017 0:00,1993,31Jan1928,221.7,467.9,204.6,295.1,231.0,96.3,603,1077.0,0,239,,
2/1/2017 0:00,1955,29Feb1928,274.5,830.1,137.4,233.6,460.5,187.1,603,0.0,2239,1366,,
3/1/2017 0:00,4098,31Mar1928,393.9,1217.1,380.2,851.0,1249.0,423.9,1098,0.0,5077,1799,,
4/1/2017 0:00,2105,30Apr1928,129.2,662.1,148.2,301.7,518.2,154.6,18,2532.6,845,1707,,
5/1/2017 0:00,1394,31May1928,39.8,218.1,88.6,264.0,268.9,44.5,28,602.5,0,711,,
6/1/2017 0:00,768.8,30Jun1928,21.7,104.4,46.2,197.5,149.2,21.7,12,944.9,0,259,,
7/1/2017 0:00,477.4,31Jul1928,4.9,14.5,28.9,126.0,95.9,15.6,0,1145.1,0,345,,
8/1/2017 0:00,584.7,31Aug1928,0.3,0.5,27.5,90.8,91.6,15.4,0,536.0,0,138,,
9/1/2017 0:00,507.2,30Sep1928,0.4,0.6,26.6,78.7,86.3,14.9,23,382.8,0,440,,
10/1/2017 0:00,343.9,31Oct1928,1.0,2.1,37.9,92.3,91.0,20.8,0,0.0,0,0,,
11/1/2017 0:00,1238,30Nov1928,0.9,3.1,74.0,135.1,125.8,42.3,11,169.8,0,0,,
12/1/2017 0:00,1066,31Dec1928,48.5,155.5,89.6,142.7,148.1,63.4,10,724.0,41,0,,
1/1/2018 0:00,1131,31Jan1929,56.7,119.6,79.5,114.7,114.5,47.7,10,245.3,0,330,,
2/1/2018 0:00,1560,28Feb1929,57.2,173.1,120.0,204.0,252.1,102.4,28,774.9,747,140,,
3/1/2018 0:00,936.1,31Mar1929,42.9,132.6,78.6,175.9,206.4,70.1,20,597.5,146,63,,
4/1/2018 0:00,1018,30Apr1929,25.4,130.2,99.6,202.7,205.4,61.3,18,1256.3,119,182,,
5/1/2018 0:00,848.7,31May1929,25.5,139.7,88.8,264.6,152.2,25.2,17,566.9,0,631,,
6/1/2018 0:00,464.3,30Jun1929,8.1,38.8,39.1,167.1,108.4,15.8,0,812.6,0,350,,
7/1/2018 0:00,483.9,31Jul1929,0.3,1.0,22.0,95.8,72.0,11.7,0,468.8,0,242,,
8/1/2018 0:00,410.1,31Aug1929,0.1,0.1,23.3,77.0,65.1,10.9,0,337.7,0,67,,
9/1/2018 0:00,362.8,30Sep1929,0.0,0.0,24.4,72.1,65.9,11.4,12,281.7,0,271,,
10/1/2018 0:00,252.4,31Oct1929,0.0,0.0,30.5,74.4,70.0,16.0,0,0.0,0,0,,
11/1/2018 0:00,272.2,30Nov1929,0.9,3.0,40.3,73.5,69.7,23.5,11,15.6,0,464,,
12/1/2018 0:00,2226,31Dec1929,177.0,567.8,319.6,508.7,646.0,276.5,10,1270.8,1730,0,,
1/1/2019 0:00,3604,31Jan1930,121.7,256.9,250.2,360.8,416.9,173.8,10,1148.8,298,368,,
2/1/2019 0:00,3461,28Feb1930,176.1,532.7,204.9,348.5,505.8,205.5,28,900.1,1768,1106,,
3/1/2019 0:00,2160,31Mar1930,156.3,483.1,189.6,424.4,642.0,217.9,25,1366.6,1711,1342,,
4/1/2019 0:00,1129,30Apr1930,64.1,328.3,184.6,375.8,452.4,135.0,30,1090.9,0,521,,
5/1/2019 0:00,1160,31May1930,21.2,116.3,104.7,311.7,292.2,48.4,28,617.1,0,571,,
6/1/2019 0:00,567.2,30Jun1930,7.7,37.2,51.2,219.0,127.7,18.6,12,1070.8,0,121,,
7/1/2019 0:00,533.9,31Jul1930,1.7,5.1,26.8,116.8,88.0,14.3,0,722.8,0,24,,
8/1/2019 0:00,470.1,31Aug1930,0.0,0.0,27.1,89.4,78.0,13.1,0,468.1,0,0,,
9/1/2019 0:00,355.2,30Sep1930,0.0,0.0,31.4,92.9,81.5,14.1,23,386.0,0,123,,
10/1/2019 0:00,317.4,31Oct1930,1.2,2.7,35.9,87.5,81.2,24.8,0,0.0,0,83,,
11/1/2019 0:00,336.9,30Nov1930,5.7,18.9,50.9,92.9,91.3,27.0,11,18.1,0,0,,
12/1/2019 0:00,313.7,31Dec1930,6.0,19.2,56.8,90.4,87.2,26.0,10,196.8,0,0,,
1/1/2020 0:00,1425,31Jan1931,93.6,197.5,120.3,173.6,157.3,60.4,10,495.4,255,426,,
2/1/2020 0:00,1186,28Feb1931,57.5,174.0,84.8,144.2,150.6,54.1,28,535.4,221,0,,
3/1/2020 0:00,795.2,31Mar1931,87.2,269.5,94.7,211.9,257.3,76.3,9,258.9,221,0,,
4/1/2020 0:00,907.4,30Apr1931,21.6,110.7,80.9,164.8,129.0,28.6,4,977.7,0,0,,
5/1/2020 0:00,914.6,31May1931,9.4,51.8,53.7,160.0,92.8,23.3,0,335.6,0,0,,
6/1/2020 0:00,1170,30Jun1931,4.6,22.3,21.5,92.0,72.2,20.6,0,715.2,0,0,,
7/1/2020 0:00,738.9,31Jul1931,0.8,2.3,15.1,65.8,59.1,15.0,0,478.0,0,0,,
8/1/2020 0:00,224.5,31Aug1931,0.0,0.0,18.0,59.5,56.4,14.4,0,265.0,0,0,,
9/1/2020 0:00,-95.44,30Sep1931,0.0,0.0,21.4,63.4,58.4,15.6,0,260.5,0,151,,
10/1/2020 0:00,-53.26,31Oct1931,8.2,17.4,36.0,87.9,76.4,20.8,3,0.0,0,0,,
11/1/2020 0:00,158.7,30Nov1931,10.0,33.3,49.7,90.7,86.0,32.6,11,13.6,15,0,,
12/1/2020 0:00,2121,31Dec1931,44.7,143.3,236.2,376.0,456.5,311.0,10,1433.5,1067,444,,
1/1/2021 0:00,2990,31Jan1932,116.5,245.8,137.3,198.0,229.8,145.5,70,1020.4,153,478,,
2/1/2021 0:00,1541,29Feb1932,72.3,218.7,99.8,169.7,206.5,129.0,28,684.8,264,395,,
3/1/2021 0:00,620.7,31Mar1932,171.7,530.6,126.8,283.7,338.2,97.1,11,469.7,542,852,,
4/1/2021 0:00,683.8,30Apr1932,54.9,281.4,169.8,345.7,427.8,112.3,18,1079.3,0,514,,
5/1/2021 0:00,555,31May1932,50.8,278.9,143.9,428.5,431.5,88.1,17,443.8,0,361,,
6/1/2021 0:00,702.7,30Jun1932,18.0,86.6,64.7,276.8,160.1,40.1,12,601.1,0,928,,
7/1/2021 0:00,375.3,31Jul1932,3.5,10.4,26.8,116.9,88.6,21.0,0,457.3,0,353,,
8/1/2021 0:00,107.4,31Aug1932,0.3,0.5,24.3,80.3,74.2,17.8,0,245.1,0,185,,
9/1/2021 0:00,-11.91,30Sep1932,0.0,0.0,25.3,75.0,71.7,17.5,12,95.9,0,380,,
10/1/2021 0:00,-325.6,31Oct1932,0.0,0.0,31.5,77.0,72.7,18.3,0,0.0,0,8,,
11/1/2021 0:00,-190.3,30Nov1932,0.8,2.8,45.0,82.0,80.8,21.7,11,19.2,29,0,,
12/1/2021 0:00,153.4,31Dec1932,4.4,14.1,57.9,92.2,100.5,25.8,10,229.7,21,0,,
1/1/2022 0:00,753.4,31Jan1933,18.7,39.4,94.0,135.6,138.5,51.1,10,654.1,260,472,,
2/1/2022 0:00,828.9,28Feb1933,19.8,59.8,74.5,126.7,146.5,68.3,28,578.6,65,0,,
3/1/2022 0:00,991.2,31Mar1933,96.6,298.6,102.8,230.0,342.6,243.6,13,511.5,880,485,,
4/1/2022 0:00,361,30Apr1933,88.7,454.5,122.8,249.9,283.4,85.1,30,1439.4,129,734,,
5/1/2022 0:00,201.1,31May1933,61.3,336.1,87.7,261.2,263.2,73.8,17,413.9,0,0,,
6/1/2022 0:00,61.14,30Jun1933,42.6,204.9,62.9,269.3,144.5,26.1,12,745.4,0,454,,
7/1/2022 0:00,-184,31Jul1933,8.0,23.7,24.3,106.0,78.3,18.0,0,478.0,0,189,,
8/1/2022 0:00,-413.2,31Aug1933,1.0,1.6,21.6,71.4,69.8,16.1,0,265.0,0,8,,
9/1/2022 0:00,-476.3,30Sep1933,0.0,0.1,23.9,70.7,70.5,17.0,12,53.9,0,319,,
10/1/2022 0:00,-434,31Oct1933,1.0,2.1,32.3,78.8,77.7,20.5,2,0.0,0,0,,
11/1/2022 0:00,-329.2,30Nov1933,3.1,10.3,43.7,79.8,79.6,21.1,11,11.5,0,0,,
12/1/2022 0:00,1130,31Dec1933,42.7,137.1,159.3,253.6,356.5,157.3,10,1041.0,542,454,,
1/1/2023 0:00,909.2,31Jan1934,120.6,254.4,155.0,223.6,295.4,135.7,10,1090.8,517,184,,
2/1/2023 0:00,1174,28Feb1934,86.4,261.4,174.6,296.9,362.2,211.7,28,770.5,1239,805,,
3/1/2023 0:00,445.2,31Mar1934,95.1,293.9,128.2,287.0,273.7,83.0,15,468.1,454,407,,
4/1/2023 0:00,111.2,30Apr1934,30.2,155.0,124.4,253.2,181.2,44.6,30,1276.3,0,168,,
5/1/2023 0:00,53.23,31May1934,13.3,73.2,55.5,165.2,108.8,29.4,17,415.6,0,20,,
6/1/2023 0:00,227.1,30Jun1934,4.8,22.9,25.4,108.6,81.8,22.7,0,599.4,0,197,,
7/1/2023 0:00,-374.6,31Jul1934,1.4,4.1,16.6,72.4,66.7,16.3,0,486.6,0,228,,
