"Contains a date column for CalLite-CV's time period and fields with the Element name (using the CalLite-CV convention of name_might_include_underscores.element_subname, even though it's different from Sadie's nomenclature, because I'm hoping that leaving them will be less confusing than changing .'s to _'s and making the names harder to read) for all the CalLite-CV records identified in diversionoverview.csv. That .csv contains the combinations required to calculate fraction diverted for each river, but here's one example: for the Upper-Mid Sacramento DSM reach, cell B4 in the overview csv gives the formula RedBluff.Diversion/(RedBluff.Outflow + RedBluff.Diversion), so for 10/2014 the fraction diverted will be 213.1/(6979 + 213.1) = .0296.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,RedBluff.Outflow,RedBluff.Diversion,Thermalito.Outflow,Thermalito.Diversion,DaguerrePt.Outflow,DaguerrePt.Diversion,SacFeather.Outflow,SacFeather.SacFeather_Refuge_Diversion_ch,SacFeather.Diversion,Hst.Outflow,Hst.Diversion,SacAmerican.Outflow,SacAmerican.Diversion,Calaveras_River.Outflow,Calaveras_River.Diversion,Merced_River_3.Outflow,Merced_River_3.Diversion,Ripon.Outflow,Ripon.Diversion,Tuolumne_River_2.Outflow,Tuolumne_River_2.Diversion,Hood.Outflow,Hood.Diversion,RioVista.Outflow,RioVista.Diversion,RioVista.Diversion2,CentralDelta.Outflow,CentralDelta.Diversion,SJR1.Outflow,SJR1.Diversion,SouthDelta.Outflow,SouthDelta.Diversion,SouthDelta.Diversion2
10/1/2014 0:00,6979,213.1,3581,250.8,611.8,88.19,9386,72.87,0,1386,68.6,10511,240,0,18.53,203.3,0,650.6,2.992,457.4,2.509,10485,0,6675,131.2,47.12,3539,21.62,1314,0,-2471,7245,99.42
11/1/2014 0:00,5529,63.14,1823,161.3,645.2,76.7,8462,59.63,0,1828,51.26,10257,248.4,105.8,3.9,143.5,0.3584,284.9,0,413.1,0,10312,0,6449,99.53,331,3754,151.9,2199,0,-1711,6995,698.4
12/1/2014 0:00,4812,46.9,1700,61.06,640.4,77.43,9616,30.75,0,1915,39.78,11674,135.9,26.87,4.57,143.4,0.2384,289,0,431.6,0,11745,0,9476,73.14,25.29,2529,11.6,1752,0,-4050,8334,53.35
1/1/2015 0:00,5153,72.84,1700,63.91,717.5,78.6,13160,16.01,0,1626,31.92,15304,107.8,137.2,5.41,145.8,0.2264,322.5,0,532.5,0,15489,0,12663,46.23,20.09,3440,9.22,2388,0,376.8,5456,42.4
2/1/2015 0:00,8628,41.32,2686,42.14,2150,68.98,25657,15.39,0,1844,31.92,28713,107.7,263.7,6.296,162,0.205,354.8,0,621.9,0,29088,0,26409,52.37,19.82,6271,9.096,4023,0,4220,6118,41.82
3/1/2015 0:00,10117,86.12,6228,42.25,2624,82.16,21125,8.424,0,2937,49.05,23930,423.3,2.089,14.3,195.3,3.796,301.2,0,422,0,23979,0,19763,52.85,189.3,4430,86.85,2344,0,1902,4525,399.4
4/1/2015 0:00,9452,46.59,3431,35.64,2610,85.77,21653,9.576,0,2959,36.19,25187,286,182.5,20.53,154.8,2.53,1770,6.069,808.6,8.316,25431,0,22728,50.39,37.29,5260,17.11,7159,0,6845,5576,78.67
5/1/2015 0:00,16025,714.6,5192,1209,1000,1150,19783,23.17,0,2845,86.92,20957,1892,2.247,119.6,167.9,11.38,1576,45.02,606.7,22.58,21001,0,16368,22.19,1112,4087,510,3109,0,1873,3025,2345
6/1/2015 0:00,16931,1365,4371,2581,650,2126,14306,34.82,0,1426,107.5,12765,3320,8.976,128.1,149.3,14.26,569.7,67.41,220.7,23.33,12841,0,9415,102.2,1606,3000,736.9,2435,0,-695,2853,3388
7/1/2015 0:00,12318,1045,5161,1372,500,1188,13208,34.54,0,739.5,113.9,11559,2829,13.02,138.1,133.5,14.77,416.9,58,224.9,25.09,11654,0,5354,115,1729,6164,793.5,2866,0,-60.51,5570,3649
