"Contains the date from CalLite-CV, the CalSim date, and various CalSim II records' values after that. These can be combined using the equations in diversionoverview.csv; here's an example. Upper Sac is represented as D104/C109 in cell B2 of diversionoverview.csv, so for 10/2014 that's equal to 262.37/6145=0.043. Some calculations have multipliers and one even subtracts one of the arcs instead of summing them all; all that math is from the Proposed Mapping by Mike Urkov a year or two ago.",,,,,,,,,,,,,,,,,,,,,
date,cs_date,C109,D104,C637,D639,C11307,C11308,C11309,D11305,C217A,C217B,D217,C11303,D11301,D113A,D207A,C42,D17301,C11304,C285,D285
10/1/2014 0:00,31-Oct-25,6145,262.37,2513,16.26,32.6,79.5,84.4,43.51,63.1,48.790,0.00,13.8,9.567,1.6263,0.0,265,28.20,29.5,46.0,0.000
11/1/2014 0:00,30-Nov-25,6375,2.35,2207,1.68,43.9,80.2,120.2,0.00,115.1,33.611,0.00,13.6,0.000,0.0000,0.0,268,0.00,45.1,10.0,0.000
12/1/2014 0:00,31-Dec-25,5322,2.28,2003,0.00,84.9,135.1,149.3,0.00,182.1,9.758,0.00,35.7,0.000,0.0000,0.0,75,0.00,114.6,9.6,0.000
1/1/2015 0:00,31-Jan-26,6613,1.95,1942,0.00,185.2,267.1,209.1,0.00,247.7,8.132,0.00,66.2,0.000,0.0000,0.0,371,0.00,139.8,9.0,0.000
2/1/2015 0:00,28-Feb-26,15244,1.80,2188,7.20,208.2,354.1,698.1,0.00,769.8,9.003,0.00,357.8,0.000,0.0000,0.0,1784,0.00,1082.2,544.5,0.000
3/1/2015 0:00,31-Mar-26,4898,136.64,2457,21.14,77.9,174.4,255.9,4.72,312.5,8.132,15.11,117.7,9.567,1.6263,0.0,52,20.51,363.6,160.4,0.000
4/1/2015 0:00,30-Apr-26,7741,50.34,4546,52.10,214.9,437.5,751.5,0.00,694.6,8.403,123.07,100.4,9.886,1.6806,0.0,43,7.95,514.4,1518.3,0.000
5/1/2015 0:00,31-May-26,10482,471.15,2771,73.19,58.7,174.9,178.2,180.42,23.8,17.890,198.10,20.1,9.567,1.6263,0.0,328,78.19,110.4,336.4,39.030
6/1/2015 0:00,30-Jun-26,12848,696.35,1447,75.63,28.2,120.6,91.1,239.93,0.0,25.208,123.48,5.5,9.886,1.6806,432.1,175,115.23,26.5,359.5,52.940
7/1/2015 0:00,31-Jul-26,15148,739.71,1198,104.09,21.6,94.2,71.7,187.50,0.0,17.890,78.04,2.0,9.567,1.6263,222.5,159,126.89,6.0,376.4,48.140
