"These are the DSM elements we have time series for from CalLite-CV (that's the full name, there's a completely separate model called CalLite naturally). I used the names from your Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc). The dates are the CalLite-CV dates: October 2014 in CalLite-CV corresponds to October 1925 in CalSim II in terms of model calibration, for reference. These results are the Outflow elements of each site listed on the Google Doc as of 1 PM 100417 (I saved those matches in another csv called 'matches for master csv.csv'. I left the Delta out of this for now... POTENTIAL PROBLEM: I'm noticing many 0-outflow months for NewHogan which is our Calaveras number. It's possible we could use the Calaveras_River node to get around this, even though it's below the anadromy limit; I think it's only got a 0 in the first month of the model run.",,,,,,,,,,,,,,
date,Upper Sacramento River,Clear Creek,Upper-mid Sacramento River,Feather River,Yuba River,Lower-mid Sacramento River,Yolo Bypass,American River,Lower Sacramento River,Calaveras River,Merced River,Stanislaus River,Tuolumne River,San Joaquin River
10/1/2014 0:00,6781.908691,150,6978.580566,3581.254639,611.8421631,9385.6875,19.58860397,1386.473511,10511.13086,18.10406494,203.2899933,650.6196899,457.4050903,1201.079956
11/1/2014 0:00,4822.30957,150,5529.379883,1822.868774,645.2119751,8462.058594,212.3465118,1828.41626,10257.10449,79.64761353,143.4894104,284.9046936,413.144043,1776.058105
12/1/2014 0:00,3882.28833,150,4811.608887,1700,640.442749,9616.271484,194.9101105,1914.672485,11674.13477,0,143.422348,288.9779053,431.5896301,1246.685059
1/1/2015 0:00,3250,150,5152.908203,1700,717.5374146,13159.99707,78.21337891,1625.502686,15303.83496,0,145.8021698,322.4825134,532.5314941,1323.319458
2/1/2015 0:00,3250,150,7555.276367,1700,2149.928955,23597.99023,1983.787476,1375.385132,26186.22656,0,162.0158539,354.8191223,621.9268188,2095.607666
3/1/2015 0:00,3250,150,5000.65625,1700,2624.412598,11480.56836,36.11722565,3030.651611,14378.59961,9.994552612,195.3058014,301.1755371,421.9916687,2047.894165
4/1/2015 0:00,3250,150,5323.472656,1000,2609.764648,15092.57227,1518.900146,1094.583008,16761.47852,0,154.8274384,1770.457764,808.5827026,5567.429199
5/1/2015 0:00,12128.2002,237.0967712,12765.20508,4065.734131,1000,15393.15723,116.4426804,2705.080566,16426.76172,117.6588287,167.9185486,1576.116943,606.7024536,2782.588867
6/1/2015 0:00,16524.33008,150,16092.0791,4377.280762,650,13470.14063,771.7632446,2243.912354,12745.00879,127.7635422,149.2742004,569.480957,220.6824036,1461.132446
7/1/2015 0:00,14777.41016,85,14720.51465,8732.001953,500,19178.37305,987.7945557,834.645813,17623.70703,137.837265,133.4817657,416.9398804,224.9342346,1716.97168
8/1/2015 0:00,8594.558594,85,8570.387695,4943.87207,500,10576.75684,1107.099609,188.0000153,9373.104492,112.093956,84.61286926,444.2117004,240.6112213,1840.508301
