Watershed,Calite Node,,Adapted from the Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc) as of about 1 PM 100417
Upper Sacramento River,Keswick,,
Clear Creek,Whiskeytown,,
Upper-mid Sacramento River,Red Bluff,,
Feather River,Thermalito,,
Yuba River,Daguerre Point,,
Lower-mid Sacramento River,SacFeather,,
Yolo Bypass,YoloBypass,,
American River,H Street,,
Lower Sacramento River,Sac American,,
Calaveras River,New Hogan,,
Merced River,Merced 3,,
Stanislaus River,Ripon,,
Tuolumne River,Tuolumne 2,,
San Joaquin River,Vernalis,,
