A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
1,31Oct1921,4974,6050
2,30Nov1921,2942,5413
3,31Dec1921,2106,5731
4,31Jan1922,2541,846
5,28Feb1922,3243,420
6,31Mar1922,2831,2617
7,30Apr1922,10091,5785
8,31May1922,10998,7029
9,30Jun1922,15809,8768
10,31Jul1922,16323,8760
11,31Aug1922,12998,8646
12,30Sep1922,6433,7222
13,31Oct1922,4397,6400
14,30Nov1922,2476,6241
15,31Dec1922,1850,5121
16,31Jan1923,2082,825
17,28Feb1923,2621,823
18,31Mar1923,2801,753
19,30Apr1923,7012,3660
20,31May1923,9422,5672
21,30Jun1923,12546,7979
22,31Jul1923,12843,9159
23,31Aug1923,10450,8882
24,30Sep1923,4732,6953
25,31Oct1923,4180,6278
26,30Nov1923,2399,5750
27,31Dec1923,1466,4704
28,31Jan1924,1232,676
29,29Feb1924,1595,159
30,31Mar1924,1792,204
31,30Apr1924,4790,1656
32,31May1924,5157,2306
33,30Jun1924,6876,3235
34,31Jul1924,6875,3617
35,31Aug1924,5784,3097
36,30Sep1924,3340,1394
37,31Oct1924,2417,1617
38,30Nov1924,1529,1123
39,31Dec1924,916,1097
40,31Jan1925,813,113
41,28Feb1925,1067,165
42,31Mar1925,2374,279
43,30Apr1925,7045,2243
44,31May1925,8508,4292
45,30Jun1925,13489,6423
46,31Jul1925,14193,7390
47,31Aug1925,11419,6600
48,30Sep1925,5444,5316
49,31Oct1925,4583,4614
50,30Nov1925,2403,4092
51,31Dec1925,1574,3284
52,31Jan1926,1507,509
53,28Feb1926,1994,206
54,31Mar1926,2599,509
55,30Apr1926,5755,1395
56,31May1926,9186,5066
57,30Jun1926,13479,7866
58,31Jul1926,13339,8936
59,31Aug1926,10488,8529
60,30Sep1926,5433,7378
61,31Oct1926,3892,5570
62,30Nov1926,2087,4901
63,31Dec1926,1563,4341
64,31Jan1927,1336,606
65,28Feb1927,1784,323
66,31Mar1927,2475,1921
67,30Apr1927,8375,4493
68,31May1927,9934,6503
69,30Jun1927,13656,8235
70,31Jul1927,14363,8698
71,31Aug1927,11602,8616
72,30Sep1927,5875,7199
73,31Oct1927,4176,6056
74,30Nov1927,2301,5808
75,31Dec1927,1537,4917
76,31Jan1928,1591,825
77,29Feb1928,2028,376
78,31Mar1928,2224,417
79,30Apr1928,7402,5426
80,31May1928,9687,7722
81,30Jun1928,13452,9182
82,31Jul1928,13641,9236
83,31Aug1928,11037,8921
84,30Sep1928,5583,7711
85,31Oct1928,4454,7401
86,30Nov1928,2151,6797
87,31Dec1928,1439,5786
88,31Jan1929,1544,763
89,28Feb1929,1919,165
90,31Mar1929,1519,208
91,30Apr1929,5039,2668
92,31May1929,5687,3715
93,30Jun1929,6791,4310
94,31Jul1929,7283,5289
95,31Aug1929,6091,4399
96,30Sep1929,3379,2787
97,31Oct1929,2723,1823
98,30Nov1929,1561,1104
99,31Dec1929,834,1057
100,31Jan1930,635,111
101,28Feb1930,900,224
102,31Mar1930,2085,296
103,30Apr1930,6905,2755
104,31May1930,8870,4466
105,30Jun1930,13041,6632
106,31Jul1930,13000,7454
107,31Aug1930,10535,6886
108,30Sep1930,5110,5659
109,31Oct1930,4223,4868
110,30Nov1930,2224,4331
111,31Dec1930,1522,3550
112,31Jan1931,1272,580
113,28Feb1931,1703,169
114,31Mar1931,1708,405
115,30Apr1931,4815,1827
116,31May1931,4634,2889
117,30Jun1931,6215,4405
118,31Jul1931,6437,5230
119,31Aug1931,5466,4609
120,30Sep1931,3202,1422
121,31Oct1931,2510,2434
122,30Nov1931,1382,3411
123,31Dec1931,815,3677
124,31Jan1932,605,403
125,29Feb1932,818,233
126,31Mar1932,1805,397
127,30Apr1932,4594,2678
128,31May1932,5019,3849
129,30Jun1932,7044,6090
130,31Jul1932,7068,6666
131,31Aug1932,6148,5854
132,30Sep1932,3866,4943
133,31Oct1932,3149,4447
134,30Nov1932,1751,3811
135,31Dec1932,1009,2936
136,31Jan1933,763,572
137,28Feb1933,1095,207
138,31Mar1933,1804,373
139,30Apr1933,5044,3406
140,31May1933,5206,4243
141,30Jun1933,7234,6702
142,31Jul1933,7268,7746
143,31Aug1933,6071,7098
144,30Sep1933,3441,4546
145,31Oct1933,2587,1650
146,30Nov1933,1628,2587
147,31Dec1933,953,3350
148,31Jan1934,903,112
149,28Feb1934,1163,167
150,31Mar1934,1500,236
151,30Apr1934,6353,1500
152,31May1934,6577,2318
153,30Jun1934,8765,3447
154,31Jul1934,8735,3935
155,31Aug1934,7191,2458
156,30Sep1934,3674,1124
157,31Oct1934,2788,2426
158,30Nov1934,1524,2896
159,31Dec1934,856,2337
160,31Jan1935,592,279
161,28Feb1935,761,273
162,31Mar1935,2222,443
163,30Apr1935,5775,4601
164,31May1935,10674,8130
165,30Jun1935,15743,10107
166,31Jul1935,16018,9992
167,31Aug1935,12835,9485
168,30Sep1935,6256,8201
169,31Oct1935,4399,7538
170,30Nov1935,2609,7400
171,31Dec1935,1810,6404
172,31Jan1936,1937,556
173,29Feb1936,2431,210
174,31Mar1936,2518,814
175,30Apr1936,7638,3971
176,31May1936,9530,5942
177,30Jun1936,13024,7987
178,31Jul1936,14133,9096
179,31Aug1936,11414,8936
180,30Sep1936,5635,7479
181,31Oct1936,4503,6668
182,30Nov1936,2622,6039
183,31Dec1936,1547,4847
184,31Jan1937,1471,603
185,28Feb1937,2031,160
186,31Mar1937,2193,372
187,30Apr1937,7908,5343
188,31May1937,10535,7413
189,30Jun1937,14079,8587
190,31Jul1937,14953,8883
191,31Aug1937,12033,8683
192,30Sep1937,5993,7354
193,31Oct1937,4253,6171
194,30Nov1937,2349,5805
195,31Dec1937,1639,5044
196,31Jan1938,1715,846
197,28Feb1938,2253,2077
198,31Mar1938,3373,2971
199,30Apr1938,8403,5882
200,31May1938,11853,8685
201,30Jun1938,17725,10812
202,31Jul1938,18475,10621
203,31Aug1938,14659,10227
204,30Sep1938,6598,8209
205,31Oct1938,4738,7673
206,30Nov1938,3010,7784
207,31Dec1938,2252,7129
208,31Jan1939,2579,780
209,28Feb1939,3554,321
210,31Mar1939,2998,843
211,30Apr1939,8504,3398
212,31May1939,8216,3995
213,30Jun1939,11979,6086
214,31Jul1939,11644,6701
215,31Aug1939,9929,5170
216,30Sep1939,4539,3601
217,31Oct1939,3455,3964
218,30Nov1939,2178,3790
219,31Dec1939,1467,4082
220,31Jan1940,1503,280
221,29Feb1940,1893,201
222,31Mar1940,2140,565
223,30Apr1940,7256,4494
224,31May1940,8673,6647
225,30Jun1940,13369,8645
226,31Jul1940,13459,8843
227,31Aug1940,10847,8676
228,30Sep1940,5544,7366
229,31Oct1940,4036,6345
230,30Nov1940,2307,6258
231,31Dec1940,1407,4780
232,31Jan1941,1372,410
233,28Feb1941,1828,1862
234,31Mar1941,2919,2694
235,30Apr1941,6341,4839
236,31May1941,10027,7537
237,30Jun1941,16700,9863
238,31Jul1941,17443,9907
239,31Aug1941,13925,9525
240,30Sep1941,6720,8046
241,31Oct1941,4598,7013
242,30Nov1941,2759,7022
243,31Dec1941,1933,5629
244,31Jan1942,2216,2169
245,28Feb1942,2859,1590
246,31Mar1942,3139,2273
247,30Apr1942,6728,3969
248,31May1942,10979,6456
249,30Jun1942,17479,8674
250,31Jul1942,18130,8641
251,31Aug1942,13178,8549
252,30Sep1942,6842,6956
253,31Oct1942,5074,6621
254,30Nov1942,2787,5921
255,31Dec1942,2077,4893
256,31Jan1943,2405,525
257,28Feb1943,3097,1279
258,31Mar1943,2758,1880
259,30Apr1943,7450,5417
260,31May1943,10594,8121
261,30Jun1943,14892,9943
262,31Jul1943,15363,9955
263,31Aug1943,12356,9573
264,30Sep1943,6140,8200
265,31Oct1943,4737,7199
266,30Nov1943,2655,3553
267,31Dec1943,1758,5829
268,31Jan1944,1833,624
269,29Feb1944,2312,156
270,31Mar1944,2179,308
271,30Apr1944,7552,2421
272,31May1944,8220,4288
273,30Jun1944,11915,6294
274,31Jul1944,12057,6968
275,31Aug1944,9858,6151
276,30Sep1944,5073,5150
277,31Oct1944,3899,3277
278,30Nov1944,1948,2783
279,31Dec1944,1324,2384
280,31Jan1945,1083,446
281,28Feb1945,1447,279
282,31Mar1945,2172,1490
283,30Apr1945,7931,5704
284,31May1945,8604,6993
285,30Jun1945,12590,8863
286,31Jul1945,13216,8952
287,31Aug1945,10729,8760
288,30Sep1945,5492,7415
289,31Oct1945,3722,6464
290,30Nov1945,2295,6371
291,31Dec1945,1367,5166
292,31Jan1946,1401,2089
293,28Feb1946,1753,947
294,31Mar1946,2812,1362
295,30Apr1946,10004,4672
296,31May1946,10638,6164
297,30Jun1946,14958,7982
298,31Jul1946,15216,8311
299,31Aug1946,11988,8276
300,30Sep1946,6034,6876
301,31Oct1946,4658,6294
302,30Nov1946,2529,5721
303,31Dec1946,1743,4662
304,31Jan1947,1991,812
305,28Feb1947,2441,172
306,31Mar1947,1847,276
307,30Apr1947,7902,3185
308,31May1947,9249,4587
309,30Jun1947,12149,6480
310,31Jul1947,13039,7651
311,31Aug1947,10567,6958
312,30Sep1947,5390,6047
313,31Oct1947,3703,3305
314,30Nov1947,2256,2926
315,31Dec1947,1445,2579
316,31Jan1948,1374,261
317,29Feb1948,1672,198
318,31Mar1948,1764,226
319,30Apr1948,3819,1176
320,31May1948,7007,5975
321,30Jun1948,11457,8876
322,31Jul1948,12295,9772
323,31Aug1948,10032,9397
324,30Sep1948,5007,7880
325,31Oct1948,4029,7094
326,30Nov1948,2214,6354
