cal sim sutter bypass flows,
cs_date,Sutter Bypass
10/1/1921,0
11/1/1921,0
12/1/1921,0
1/1/1922,0
2/1/1922,0
3/1/1922,0
4/1/1922,0
5/1/1922,0
6/1/1922,0
7/1/1922,0
8/1/1922,0
9/1/1922,0
10/1/1922,0
11/1/1922,0
12/1/1922,0
1/1/1923,0
2/1/1923,0
3/1/1923,0
4/1/1923,0
5/1/1923,0
6/1/1923,0
7/1/1923,0
8/1/1923,0
9/1/1923,0
10/1/1923,0
11/1/1923,0
12/1/1923,0
1/1/1924,0
2/1/1924,0
3/1/1924,0
4/1/1924,0
5/1/1924,0
6/1/1924,0
7/1/1924,0
8/1/1924,0
9/1/1924,0
10/1/1924,0
11/1/1924,0
12/1/1924,0
1/1/1925,0
2/1/1925,18183
3/1/1925,0
4/1/1925,0
5/1/1925,0
6/1/1925,0
7/1/1925,0
8/1/1925,0
9/1/1925,0
10/1/1925,0
11/1/1925,0
12/1/1925,0
1/1/1926,0
2/1/1926,5607
3/1/1926,0
4/1/1926,0
5/1/1926,0
6/1/1926,0
7/1/1926,0
8/1/1926,0
9/1/1926,0
10/1/1926,0
11/1/1926,0
12/1/1926,0
1/1/1927,0
2/1/1927,47459
3/1/1927,0
4/1/1927,2480
5/1/1927,0
6/1/1927,0
7/1/1927,0
8/1/1927,0
9/1/1927,0
10/1/1927,0
11/1/1927,0
12/1/1927,0
1/1/1928,0
2/1/1928,0
3/1/1928,9634
4/1/1928,0
5/1/1928,0
6/1/1928,0
7/1/1928,0
8/1/1928,0
9/1/1928,0
10/1/1928,0
11/1/1928,0
12/1/1928,0
1/1/1929,0
2/1/1929,0
3/1/1929,0
4/1/1929,0
5/1/1929,0
6/1/1929,0
7/1/1929,0
8/1/1929,0
9/1/1929,0
10/1/1929,0
11/1/1929,0
12/1/1929,0
1/1/1930,0
2/1/1930,0
3/1/1930,0
4/1/1930,0
5/1/1930,0
6/1/1930,0
7/1/1930,0
8/1/1930,0
9/1/1930,0
10/1/1930,0
11/1/1930,0
12/1/1930,0
1/1/1931,0
2/1/1931,0
3/1/1931,0
4/1/1931,0
5/1/1931,0
6/1/1931,0
7/1/1931,0
8/1/1931,0
9/1/1931,0
10/1/1931,0
11/1/1931,0
12/1/1931,0
1/1/1932,0
2/1/1932,0
3/1/1932,0
4/1/1932,0
5/1/1932,0
6/1/1932,0
7/1/1932,0
8/1/1932,0
9/1/1932,0
10/1/1932,0
11/1/1932,0
12/1/1932,0
1/1/1933,0
2/1/1933,0
3/1/1933,0
4/1/1933,0
5/1/1933,0
6/1/1933,0
7/1/1933,0
8/1/1933,0
9/1/1933,0
10/1/1933,0
11/1/1933,0
12/1/1933,0
1/1/1934,0
2/1/1934,0
3/1/1934,0
4/1/1934,0
5/1/1934,0
6/1/1934,0
7/1/1934,0
8/1/1934,0
9/1/1934,0
10/1/1934,0
11/1/1934,0
12/1/1934,0
1/1/1935,0
2/1/1935,0
3/1/1935,0
4/1/1935,5409
5/1/1935,0
6/1/1935,0
7/1/1935,0
8/1/1935,0
9/1/1935,0
10/1/1935,0
11/1/1935,0
12/1/1935,0
1/1/1936,1274
2/1/1936,6215
3/1/1936,0
4/1/1936,0
5/1/1936,0
6/1/1936,0
7/1/1936,0
8/1/1936,0
9/1/1936,0
10/1/1936,0
11/1/1936,0
12/1/1936,0
1/1/1937,0
2/1/1937,0
3/1/1937,0
4/1/1937,0
5/1/1937,0
6/1/1937,0
7/1/1937,0
8/1/1937,0
9/1/1937,0
10/1/1937,0
11/1/1937,41
12/1/1937,17667
1/1/1938,0
2/1/1938,45193
3/1/1938,55111
4/1/1938,5391
5/1/1938,0
6/1/1938,0
7/1/1938,0
8/1/1938,0
9/1/1938,0
10/1/1938,0
11/1/1938,0
12/1/1938,0
1/1/1939,0
2/1/1939,0
3/1/1939,0
4/1/1939,0
5/1/1939,0
6/1/1939,0
7/1/1939,0
8/1/1939,0
9/1/1939,0
10/1/1939,0
11/1/1939,0
12/1/1939,0
1/1/1940,690
2/1/1940,18089
3/1/1940,22094
4/1/1940,2960
5/1/1940,0
6/1/1940,0
7/1/1940,0
8/1/1940,0
9/1/1940,0
10/1/1940,0
11/1/1940,0
12/1/1940,2750
1/1/1941,42060
2/1/1941,37554
3/1/1941,20506
4/1/1941,22835
5/1/1941,750
6/1/1941,0
7/1/1941,0
8/1/1941,0
9/1/1941,0
10/1/1941,0
11/1/1941,0
12/1/1941,8319
1/1/1942,16155
2/1/1942,45224
3/1/1942,0
4/1/1942,0
5/1/1942,0
6/1/1942,0
7/1/1942,0
8/1/1942,0
9/1/1942,0
10/1/1942,0
11/1/1942,0
12/1/1942,0
1/1/1943,7485
2/1/1943,5960
3/1/1943,7191
4/1/1943,0
5/1/1943,0
6/1/1943,0
7/1/1943,0
8/1/1943,0
9/1/1943,0
10/1/1943,0
11/1/1943,0
12/1/1943,0
1/1/1944,0
2/1/1944,0
3/1/1944,0
4/1/1944,0
5/1/1944,0
6/1/1944,0
7/1/1944,0
8/1/1944,0
9/1/1944,0
10/1/1944,0
11/1/1944,0
12/1/1944,0
1/1/1945,0
2/1/1945,2888
3/1/1945,0
4/1/1945,0
5/1/1945,0
6/1/1945,0
7/1/1945,0
8/1/1945,0
9/1/1945,0
10/1/1945,0
11/1/1945,0
12/1/1945,22219
1/1/1946,6093
2/1/1946,0
3/1/1946,0
4/1/1946,0
5/1/1946,0
6/1/1946,0
7/1/1946,0
8/1/1946,0
9/1/1946,0
10/1/1946,0
11/1/1946,0
12/1/1946,0
1/1/1947,0
2/1/1947,0
3/1/1947,0
4/1/1947,0
5/1/1947,0
6/1/1947,0
7/1/1947,0
8/1/1947,0
9/1/1947,0
10/1/1947,0
11/1/1947,0
12/1/1947,0
1/1/1948,0
2/1/1948,0
3/1/1948,0
4/1/1948,0
5/1/1948,0
6/1/1948,0
7/1/1948,0
8/1/1948,0
9/1/1948,0
10/1/1948,0
11/1/1948,0
12/1/1948,0
1/1/1949,0
2/1/1949,0
3/1/1949,8012
4/1/1949,0
5/1/1949,0
6/1/1949,0
7/1/1949,0
8/1/1949,0
9/1/1949,0
10/1/1949,0
11/1/1949,0
12/1/1949,0
1/1/1950,0
2/1/1950,0
3/1/1950,0
4/1/1950,0
5/1/1950,0
6/1/1950,0
7/1/1950,0
8/1/1950,0
9/1/1950,0
10/1/1950,0
11/1/1950,0
12/1/1950,10776
1/1/1951,3281
2/1/1951,9636
3/1/1951,0
4/1/1951,0
5/1/1951,0
6/1/1951,0
7/1/1951,0
8/1/1951,0
9/1/1951,0
10/1/1951,0
11/1/1951,0
12/1/1951,3015
1/1/1952,14945
2/1/1952,16251
3/1/1952,6631
4/1/1952,5648
5/1/1952,0
6/1/1952,0
7/1/1952,0
8/1/1952,0
9/1/1952,0
10/1/1952,0
11/1/1952,0
12/1/1952,2654
1/1/1953,38673
2/1/1953,0
3/1/1953,0
4/1/1953,0
5/1/1953,0
6/1/1953,0
7/1/1953,0
8/1/1953,0
9/1/1953,0
10/1/1953,0
11/1/1953,0
12/1/1953,0
1/1/1954,0
2/1/1954,18548
3/1/1954,5388
4/1/1954,2144
5/1/1954,0
6/1/1954,0
7/1/1954,0
8/1/1954,0
9/1/1954,0
10/1/1954,0
11/1/1954,0
12/1/1954,0
1/1/1955,0
2/1/1955,0
3/1/1955,0
4/1/1955,0
5/1/1955,0
6/1/1955,0
7/1/1955,0
8/1/1955,0
9/1/1955,0
10/1/1955,0
11/1/1955,0
12/1/1955,31313
1/1/1956,53016
2/1/1956,19076
3/1/1956,0
4/1/1956,0
5/1/1956,0
6/1/1956,0
7/1/1956,0
8/1/1956,0
9/1/1956,0
10/1/1956,0
11/1/1956,0
12/1/1956,0
1/1/1957,0
2/1/1957,0
3/1/1957,0
4/1/1957,0
5/1/1957,0
6/1/1957,0
7/1/1957,0
8/1/1957,0
9/1/1957,0
10/1/1957,0
11/1/1957,0
12/1/1957,0
1/1/1958,7719
2/1/1958,82394
3/1/1958,40373
4/1/1958,13442
5/1/1958,0
6/1/1958,0
7/1/1958,0
8/1/1958,0
9/1/1958,0
10/1/1958,0
11/1/1958,0
12/1/1958,0
1/1/1959,0
2/1/1959,8574
3/1/1959,0
4/1/1959,0
5/1/1959,0
6/1/1959,0
7/1/1959,0
8/1/1959,0
9/1/1959,0
10/1/1959,0
11/1/1959,0
12/1/1959,0
1/1/1960,0
2/1/1960,1326
3/1/1960,0
4/1/1960,0
5/1/1960,0
6/1/1960,0
7/1/1960,0
8/1/1960,0
9/1/1960,0
10/1/1960,0
11/1/1960,0
12/1/1960,0
1/1/1961,0
2/1/1961,5618
3/1/1961,0
4/1/1961,0
5/1/1961,0
6/1/1961,0
7/1/1961,0
8/1/1961,0
9/1/1961,0
10/1/1961,0
11/1/1961,0
12/1/1961,0
1/1/1962,0
2/1/1962,11872
3/1/1962,0
4/1/1962,0
5/1/1962,0
6/1/1962,0
7/1/1962,0
8/1/1962,0
9/1/1962,0
10/1/1962,0
11/1/1962,0
12/1/1962,0
1/1/1963,0
2/1/1963,6147
3/1/1963,0
4/1/1963,27828
5/1/1963,0
6/1/1963,0
7/1/1963,0
8/1/1963,0
9/1/1963,0
10/1/1963,0
11/1/1963,0
12/1/1963,0
1/1/1964,0
2/1/1964,0
3/1/1964,0
4/1/1964,0
5/1/1964,0
6/1/1964,0
7/1/1964,0
8/1/1964,0
9/1/1964,0
10/1/1964,0
11/1/1964,0
12/1/1964,20835
1/1/1965,26540
2/1/1965,0
3/1/1965,0
4/1/1965,1589
5/1/1965,0
6/1/1965,0
7/1/1965,0
8/1/1965,0
9/1/1965,0
