Action,Date
Open,3/15/85
Closed,5/7/85
Open,5/9/85
Closed,5/29/85
Open,5/31/85
Closed,6/3/85
Open,6/6/85
Closed,6/12/85
Open,6/14/85
Closed,10/17/85
Open,10/19/85
Closed,10/23/85
Open,10/25/85
Closed,11/7/85
Open,11/8/85
Closed,11/12/85
Open,11/15/85
Closed,11/30/85
Open,12/6/85
Closed,1/17/86
Open,5/22/86
Closed,9/23/86
Open,10/9/86
Closed,12/5/86
Open,12/10/86
Closed,12/30/86
Open,2/27/87
Closed,3/6/87
Open,4/1/87
Closed,4/28/87
Open,5/1/87
Closed,5/17/87
Open,5/23/87
Closed,10/1/87
Open,10/4/87
Closed,10/8/87
Open,10/10/87
Closed,10/27/87
Open,10/30/87
Closed,11/2/87
Open,11/5/87
Closed,1/5/88
Open,1/27/88
Closed,5/3/88
Open,5/6/88
Closed,5/13/88
Open,5/20/88
Closed,5/31/88
Open,5/31/88
Closed,6/21/88
Open,6/24/88
Closed,11/25/88
Open,11/27/88
Closed,2/19/89
Open,2/19/89
Closed,3/6/89
Open,4/13/89
Closed,5/8/89
Open,5/10/89
Closed,5/12/89
Open,5/17/89
Closed,6/5/89
Open,6/7/89
Closed,6/8/89
Open,6/10/89
Closed,6/19/89
Open,6/21/89
Closed,1/11/90
Open,1/22/90
Closed,4/25/90
Open,4/26/90
Closed,5/15/90
Open,5/16/90
Closed,3/5/91
Open,3/11/91
Closed,3/14/91
Open,4/4/91
Closed,5/2/91
Open,5/3/91
Closed,5/16/91
Open,5/18/91
Closed,5/20/91
Open,5/25/91
Closed,5/30/91
Open,6/1/91
Closed,6/3/91
Open,6/7/91
Closed,6/10/91
Open,6/13/91
Closed,6/27/91
Open,6/29/91
Closed,2/3/92
Open,5/1/92
Closed,5/15/92
Open,5/22/92
Closed,5/26/92
Open,5/29/92
Closed,6/1/92
Open,6/3/92
Closed,6/3/92
Open,6/8/92
Closed,12/12/92
Open,12/14/92
Closed,1/3/93
Open,5/29/93
Closed,6/1/93
Open,6/18/93
Closed,10/29/93
Open,11/1/93
Closed,11/2/93
Open,11/7/93
Closed,1/8/94
Closed,6/22/94
Open,6/24/94
Closed,6/29/94
Open,7/1/94
Closed,7/5/94
Open,7/8/94
Closed,7/26/94
Open,7/29/94
Closed,11/11/94
Open,11/14/94
Closed,12/8/94
Open,12/14/94
Closed,12/16/94
Open,12/19/94
Closed,1/4/95
Open,7/28/95
Closed,9/19/95
Open,9/22/95
Closed,12/11/95
Open,6/12/96
Closed,11/12/96
Open,11/15/96
Closed,11/20/96
Open,5/16/97
Closed,5/21/97
Open,5/23/97
Closed,5/28/97
Open,5/30/97
Closed,6/12/97
Open,6/16/97
Closed,7/1/97
Open,7/3/97
Closed,10/6/97
Open,10/15/97
Closed,11/25/97
Open,7/17/98
Closed,9/8/98
Open,5/28/99
Closed,11/26/99
Open,12/14/99
Closed,12/14/99
Open,12/15/99
Closed,1/16/00
Open,5/26/00
Closed,6/5/00
Open,6/9/00
Closed,6/12/00
Open,6/16/00
Closed,9/28/00
Open,9/28/00
Closed,9/28/00
Open,9/29/00
Closed,9/29/00
Open,9/29/00
Closed,9/29/00
Open,9/30/00
Closed,9/30/00
Open,9/30/00
Closed,9/30/00
Open,10/1/00
Closed,10/1/00
Open,10/1/00
Closed,10/1/00
Open,10/2/00
Closed,10/2/00
Open,10/2/00
Closed,10/2/00
Open,10/3/00
Closed,10/3/00
Open,10/3/00
Closed,10/3/00
Open,10/4/00
Closed,10/4/00
Open,10/4/00
Closed,10/4/00
Open,10/5/00
Closed,10/5/00
Open,10/5/00
Closed,10/6/00
Open,10/6/00
Closed,10/6/00
Open,10/6/00
Closed,10/7/00
Open,10/7/00
Closed,10/7/00
Open,10/7/00
Closed,10/8/00
Open,10/8/00
Closed,10/8/00
Open,10/8/00
Closed,10/9/00
Open,10/9/00
Closed,10/9/00
Open,10/9/00
Closed,10/10/00
Open,10/10/00
Closed,10/10/00
Open,10/10/00
Closed,10/11/00
Open,10/11/00
Closed,10/11/00
Open,10/12/00
Closed,10/12/00
Open,10/12/00
Closed,10/12/00
Open,10/13/00
Closed,10/13/00
Open,10/13/00
Closed,10/13/00
Open,10/14/00
Closed,10/14/00
Open,10/14/00
Closed,10/14/00
Open,10/15/00
Closed,10/15/00
Open,10/15/00
Closed,10/15/00
Open,10/16/00
Closed,10/16/00
Open,10/16/00
Closed,10/16/00
Open,10/17/00
Closed,10/17/00
Open,10/17/00
Closed,10/17/00
Open,10/18/00
Closed,10/18/00
Open,10/18/00
Closed,10/18/00
Open,10/19/00
Closed,10/19/00
Open,10/19/00
Closed,10/19/00
Open,10/20/00
Closed,10/20/00
Open,10/21/00
Closed,10/21/00
Open,10/22/00
Closed,10/22/00
Open,10/23/00
Closed,10/23/00
Open,10/24/00
Closed,10/24/00
Open,10/25/00
Closed,10/25/00
Open,10/26/00
Closed,10/26/00
Open,10/27/00
Closed,10/27/00
