A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,C1,C10,C100,C103,C104,C105,C106,C106_NP,C106_PRJ,C106_PRJ_AGPOMI,C106_PRJ_PIMI,C108,C10801,C10802,C10803,C109,C10MIN_NP,C10MIN_P,C11,C110,C11001,C112,C113,C11301,C11303,C11304,C11305,C11307,C11308,C11309,C114,C115,C11501,C116,C116_0,C116_1,C117,C118,C12,C122,C123,C123_0,C123_1,C124,C124_0,C124_1,C125,C125_0,C125_1,C126,C127,C128,C129,C134,C135,C136A,C136B,C137,C141,C142A,C142B,C143,C14401,C14402A,C14402B,C15,C151,C152A,C152A_NP,C152A_PRJ,C152B,C154,C154_NP,C154_PRJ,C156,C157,C16,C16_TFB,C160,C160_0,C160_1,C160_2,C160_3,C160_4,C160_5,C162,C163,C165,C166,C166_0,C166_1,C166_CYCLE6,C166_CYCLE7,C166_CYCLE8,C167,C168,C169,C169_0,C169_1,C169_2,C169_3,C169_CYCLE6,C169_CYCLE7,C169_CYCLE8,C169_IF400,C169_IFMIN,C169_SPLT0,C169_SPLT1,C169_SPLT2,C169IF400_CYCLE6,C169IF400_CYCLE7,C169IF400_CYCLE8,C169IFMIN_CYCLE6,C169IFMIN_CYCLE7,C169IFMIN_CYCLE8
C,,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,30Sep1921,,,,,,,,,,,,,,,,,,,,6760,,,,,,,,,,,,,,,,,,6097,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31Oct1921,3465,1230,373,7312,7134,7334,243,23,220,209,10,7730,76,74,245,7568,0,0,0,7577,9,7473,7675,0,2,3,228,43,106,113,7108,7134,26,7175,7175,0,7175,6518,904,6384,5640,5640,0,5640,5640,0,5640,5640,0,5640,5581,5479,5412,5505,234,234,0,234,575,0,575,197,197,0,197,0,138,176,137,38,0,397,349,48,54,54,1077,0,10945,9554,0,0,0,0,0,10875,10847,10837,12736,10964,0,10964,10964,10964,12487,12375,13210,0,0,0,11438,11438,11438,11438,0,7000,13210,0,0,0,0,0,7000,7000,7000
3,30Nov1921,873,464,300,5524,5521,5721,2,0,2,0,2,6259,214,92,230,6342,0,0,0,6360,18,6364,6649,24,5,18,261,47,86,128,5891,5945,43,6001,6001,0,6001,5765,1306,5525,5262,5262,0,5262,5262,0,5262,5262,0,5262,5192,5034,4925,5074,182,182,0,182,757,11,757,219,219,0,219,83,0,0,0,0,5,0,0,0,5,5,848,0,8169,7849,0,0,0,0,0,8169,8169,8169,10596,10275,0,10275,10275,10275,10439,10345,11001,0,0,0,10681,10681,10681,10681,0,7000,11001,0,0,0,0,0,7000,7000,7000
4,31Dec1921,622,360,300,3384,3382,3582,2,0,2,0,2,5896,769,1044,501,6638,0,0,0,6751,112,6791,8087,395,94,301,901,207,330,364,7929,8095,156,8176,8176,0,8176,9014,0,9014,9093,9093,0,9093,9093,0,9093,9093,0,9093,9055,9055,9055,10074,403,369,34,377,158,10,158,74,74,0,74,0,0,0,0,0,411,0,0,0,411,439,1262,0,12123,12151,0,0,0,0,0,12123,12123,12123,16517,16545,0,16517,16517,16517,16373,16368,16941,0,0,0,16969,16941,16941,16941,0,15999,16941,0,0,0,0,0,15999,15999,15999
5,31Jan1922,622,366,300,3379,3377,3577,2,0,2,0,2,6728,688,1957,505,4723,0,0,0,4794,71,4941,6415,595,191,403,879,246,355,278,6329,6455,116,6479,6479,0,6479,6513,0,6507,7014,7014,0,7014,7014,0,7014,7014,0,7014,6848,6845,6842,7450,321,305,16,309,86,10,86,46,46,0,46,1,0,0,0,0,342,0,0,0,342,361,1411,0,12161,12180,0,0,0,0,0,12161,12161,12161,13993,14012,0,13993,13993,13993,13872,13872,14440,0,0,0,14460,14440,14440,14440,0,14235,14440,0,0,0,0,0,14235,14235,14235
6,28Feb1922,396,16,300,3412,3410,3790,2,0,2,0,2,7095,1312,1202,791,9454,0,0,0,9659,205,9728,11835,576,143,433,1531,253,430,848,11764,12394,345,12504,12504,0,12504,15146,0,15146,16613,16613,0,16613,16613,0,16613,16613,0,16613,16573,16573,16573,16608,3329,3309,20,3314,71,286,71,36,36,0,36,0,1086,0,0,0,2363,0,0,0,2363,3195,1803,0,22033,12533,3977,6355,0,0,0,22033,22033,22033,27933,28259,0,27933,27933,27933,27857,27857,28486,0,0,0,28812,28486,28486,28486,0,20389,21081,7405,0,0,0,0,20389,20389,20389
7,31Mar1922,394,1638,300,3348,3346,3546,2,0,2,0,2,5678,683,861,586,5527,0,0,0,5586,59,5624,7138,418,104,322,1114,171,382,561,7104,7309,190,7301,7301,0,7301,8175,0,8175,8986,8986,0,8986,8986,0,8986,8986,0,8986,8728,8728,8728,9264,632,614,18,618,35,15,35,19,19,0,19,0,1,9,8,1,473,11,10,1,475,542,1578,0,19628,12533,3977,3185,0,0,0,19628,19627,19627,22778,22537,0,22778,22778,22778,22653,22627,23217,0,0,0,22976,23217,23217,23217,0,15862,21081,2136,0,0,0,0,15862,15862,15862
8,30Apr1922,526,2393,540,5159,4722,4922,575,55,520,497,23,7586,596,1454,614,6922,0,0,0,6994,72,6384,8566,1166,192,983,1038,187,381,655,8068,8282,195,8394,8394,0,8394,8162,1598,7934,9679,9679,0,9679,9679,0,9679,9679,0,9679,9676,9497,9371,10725,17,0,17,4,533,18,533,207,207,0,207,0,220,924,804,120,0,1255,1105,151,90,90,2886,0,20594,12533,3977,4084,0,0,0,20237,20149,20117,24175,23811,0,24175,24175,24175,24017,23504,24747,0,0,0,24382,24747,24747,24747,0,16789,21081,3666,0,0,0,0,16789,16789,16789
9,31May1922,2901,3162,2924,12206,11732,11932,623,60,563,539,24,14729,941,936,920,13085,0,0,439,13121,36,12263,14798,768,120,656,1788,287,856,872,12596,12757,144,12854,12854,0,12854,10945,827,9962,10616,10616,0,10616,10616,0,10616,10616,0,10616,10532,9627,9027,10884,654,634,20,640,2242,17,2242,895,895,0,895,0,261,516,355,161,0,1682,1480,202,69,69,6462,0,42247,12533,3977,20549,5188,0,0,41857,41738,41696,52256,49727,0,52256,52256,52256,52091,52000,53249,0,0,0,50720,53249,53249,53249,0,15648,21081,16340,15828,0,0,0,15648,15648,15648
10,30Jun1922,1035,2789,783,10899,10181,10499,945,91,854,818,36,11889,508,219,663,10983,0,0,3279,10994,11,9887,11041,88,17,80,1086,160,686,519,8738,8826,75,8879,8879,0,8879,7617,0,6564,6732,6732,0,6732,6732,0,6732,6732,0,6732,6635,5649,5002,6735,24,0,24,4,2347,12,2347,918,918,0,918,0,314,981,767,214,0,2238,1970,269,68,68,11046,0,26070,12533,3977,9560,0,0,0,25502,25344,25288,32297,31591,0,32297,32297,32297,32088,31806,33366,0,0,0,32660,33366,33366,33366,0,11800,21081,12285,0,0,0,0,11800,11800,11800
11,31Jul1922,1948,2244,450,12081,11254,11404,1085,105,980,943,37,11880,52,111,313,11703,0,0,4600,11704,1,10494,10616,16,6,18,125,51,224,170,8199,8237,28,8356,8356,0,8356,7585,0,6477,6406,6406,0,6406,6406,0,6406,6406,0,6406,6414,5303,4589,5956,23,0,23,3,2468,11,2468,968,968,0,968,0,331,863,632,231,0,2423,2132,291,48,48,4948,0,15665,12533,3512,0,0,0,0,15177,15007,14946,16475,16759,0,16855,16855,16855,16271,16148,17705,0,0,0,17989,18085,18085,18085,0,5000,17705,0,0,0,0,0,5000,5000,5000
12,31Aug1922,2370,2077,870,10797,10078,10228,947,91,856,820,36,10567,22,65,252,10503,0,0,2802,10504,0,9541,9538,0,1,2,19,37,121,122,7622,7643,21,7746,7746,0,7746,7091,0,6246,5944,5944,0,5944,5944,0,5944,5944,0,5944,5895,5053,4518,5561,68,0,68,12,1955,0,1955,749,749,0,749,0,273,652,479,173,0,1812,1594,217,55,55,2057,0,14688,12351,0,0,0,0,0,14287,14159,14114,16943,14606,0,14606,16969,16969,16761,16639,18033,0,0,0,15697,15697,18059,18059,0,5000,18033,0,0,0,0,0,5000,5000,5000
13,30Sep1922,2370,1408,870,8214,7625,7775,775,75,701,671,30,8093,24,61,234,7907,0,0,1463,7908,1,7660,7699,0,0,0,63,34,100,110,7095,7137,19,7244,7244,0,7244,6531,0,6384,6292,6292,0,6292,6292,0,6292,6292,0,6292,6214,6021,5921,6562,125,125,0,125,633,23,633,250,250,0,250,0,192,395,303,92,0,960,844,115,59,59,1729,0,17295,12533,342,0,0,0,0,17056,16989,16965,20179,14138,0,14147,19983,19983,20036,19913,21023,0,0,0,14748,14757,20827,20827,0,5000,21023,0,0,0,0,0,5000,5000,5000
14,31Oct1922,371,1248,373,5698,5694,5894,4,0,4,0,4,6350,71,142,243,6408,0,0,0,6416,9,6346,6630,27,9,18,258,43,104,111,6100,6137,25,6242,6242,0,6242,5745,784,5628,6083,6083,0,6083,6083,0,6083,6083,0,6083,5977,5898,5841,5988,242,242,0,242,531,12,531,180,180,0,180,157,124,85,75,10,0,107,94,13,15,15,1235,0,10314,10284,0,0,0,0,0,10259,10212,10210,12094,12064,0,12064,12094,12094,11897,11785,12516,0,0,0,12486,12486,12516,12516,0,7000,12516,0,0,0,0,0,7000,7000,7000
15,30Nov1922,298,413,300,4982,4980,5180,2,0,2,0,2,6187,466,213,328,6025,0,0,0,6054,29,6073,6597,112,26,86,412,74,135,203,6011,6090,68,6205,6205,0,6205,6431,0,6274,6505,6505,0,6505,6505,0,6505,6505,0,6505,6435,6332,6261,6991,243,207,35,215,586,11,586,165,165,0,165,83,0,0,0,0,151,0,0,0,151,165,1115,0,9628,9641,0,0,0,0,0,9628,9628,9628,13663,13676,0,13663,13663,13663,13585,13491,14147,0,0,0,14160,14147,14147,14147,0,7000,14147,0,0,0,0,0,7000,7000,7000
16,31Dec1922,297,185,300,4194,4192,4392,2,0,2,0,2,8474,1617,1591,873,8712,0,0,0,8921,209,8983,11272,616,146,469,1674,385,612,676,11114,12042,290,12129,12129,0,12129,14076,0,14076,14849,14849,0,14849,14849,0,14849,14849,0,14849,14792,14792,14792,16499,762,728,34,736,158,638,158,74,74,0,74,0,0,0,0,0,1498,0,0,0,1498,1779,1655,0,18653,12533,3977,2425,0,0,0,18653,18653,18653,27466,27487,0,27466,27466,27466,27394,27389,27962,0,0,0,27983,27962,27962,27962,0,21971,21081,6881,0,0,0,0,21971,21971,21971
17,31Jan1923,396,839,300,3367,3365,3565,2,0,2,0,2,7416,977,2230,644,7264,0,0,0,7358,94,7527,9366,680,219,462,1159,325,468,366,9291,10044,153,10038,10038,0,10038,10308,0,10308,10591,10591,0,10591,10591,0,10591,10591,0,10591,10345,10345,10345,10802,436,420,16,424,75,600,75,42,42,0,42,1,0,0,0,0,327,0,0,0,327,977,1439,0,18933,12533,3977,3074,0,0,0,18933,18933,18933,23966,24316,0,23966,23966,23966,23897,23897,24466,0,0,0,24815,24466,24466,24466,0,16141,21081,3385,0,0,0,0,16141,16141,16141
18,28Feb1923,396,1136,300,4997,4995,5375,2,0,2,0,2,6627,195,792,264,6956,0,0,0,7011,55,7056,7839,369,92,277,414,68,116,229,7771,7892,93,7968,7968,0,7968,8532,663,8532,9005,9005,0,9005,9005,0,9005,9005,0,9005,8930,8930,8930,9548,2729,2729,0,2729,68,28,68,34,34,0,34,0,0,0,0,0,85,0,0,0,85,163,1660,0,14921,12533,1618,0,0,0,0,14921,14921,14921,17998,17183,0,17149,17149,17149,17921,17921,18551,0,0,0,17736,17702,17702,17702,0,14446,18551,0,0,0,0,0,14446,14446,14446
