A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,C844,C845,C846,C847,C848,C848_TVC,C848_TVC_F,C848_TVC_F_CVP,C848_TVC_F_SWP,C848_TVC_R,C848_TVC_R_CVP,C848_TVC_R_SWP,C849,C850,C851,C851_SW,C851_SW_F,C851_SW_F_CVP,C851_SW_F_SWP,C851_SW_R,C851_SW_R_CVP,C851_SW_R_SWP,C852,C853,C854,C855,C855_CVC,C855_CVC_F,C855_CVC_F_CVP,C855_CVC_F_SWP,C855_CVC_R,C855_CVC_R_CVP,C855_CVC_R_SWP,C856,C857,C858,C859,C860,C861,C861_AEI,C861_AEI_F,C861_AEI_F_CVP,C861_AEI_F_SWP,C861_AEI_R,C861_AEI_R_CVP,C861_AEI_R_SWP,C862,C863,C864,C865,C866,C867,C868,C869,C875A,C875B,C876,C877,C878,C879,C880,C881,C882,C883,C884,C885,C886,C887,C888,C889,C890,C891,C892,C893,C894,C895,C899,C9,C910,C92,C920,C930,C931_TVC,C931_TVC_F,C931_TVC_R,C933,C935,C936_SW,C936_SW_F,C936_SW_R,C940,C941A_CVC,C941A_CVC_F,C941A_CVC_R,C941B_CVC,C941B_CVC_F,C941B_CVC_R
C,,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31Oct1921,245,240,6943,6933,6911,0,0,0,0,0,0,0,6855,6714,5950,0,0,0,0,0,0,0,5950,5950,5950,4178,0,0,0,0,0,0,0,4134,4134,4134,3988,3988,3988,0,0,0,0,0,0,0,3983,3931,3929,3929,141,103,94,65,2361,1567,2361,2128,2114,2112,2105,1927,1922,1114,930,808,601,548,530,528,1567,1565,1565,1634,1631,113,170,1882,66,25,34,26,0,0,0,12,8,0,0,0,8,0,0,0,0,0,0
2,30Nov1921,4,0,4911,4901,4868,0,0,0,0,0,0,0,4830,4762,4184,0,0,0,0,0,0,0,4184,4184,4172,3852,0,0,0,0,0,0,0,3829,3829,3829,3781,3781,3781,0,0,0,0,0,0,0,3778,3758,3756,3756,68,68,58,34,2252,1504,2252,2059,2047,2045,2040,1928,1924,1466,1140,514,325,325,308,307,1504,1502,1502,1443,1441,91,154,2000,55,67,28,22,0,0,0,10,6,0,0,0,6,0,0,0,0,0,0
3,31Dec1921,4,0,3996,3988,3896,0,0,0,0,0,0,0,3852,3780,3261,0,0,0,0,0,0,0,3261,3261,3253,3253,0,0,0,0,0,0,0,3241,3241,3241,3236,3236,3236,0,0,0,0,0,0,0,3234,3227,3226,3226,72,72,63,41,2087,1139,2087,1974,1963,1962,1958,1878,1875,1415,1100,549,436,436,420,419,1139,1137,1137,1133,1132,62,141,2000,13,188,7,5,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0
4,31Jan1922,5,0,477,477,477,0,0,0,0,0,0,0,476,454,444,0,0,0,0,0,0,0,444,444,436,436,0,0,0,0,0,0,0,428,428,428,428,428,428,0,0,0,0,0,0,0,425,423,422,422,22,22,22,16,74,348,74,67,62,61,58,34,32,28,28,21,14,14,7,6,348,346,346,345,344,23,3,1400,13,62,7,5,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0
