A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
1,31Oct1921,4395,6962
2,30Nov1921,3134,7045
3,31Dec1921,1597,5673
4,31Jan1922,1684,1018
5,28Feb1922,2739,821
6,31Mar1922,2715,1904
7,30Apr1922,6633,4987
8,31May1922,12388,5789
9,30Jun1922,16439,8402
10,31Jul1922,17956,8620
11,31Aug1922,14214,8035
12,30Sep1922,6744,6864
13,31Oct1922,3932,5978
14,30Nov1922,2711,5782
15,31Dec1922,1520,4289
16,31Jan1923,1555,1084
17,28Feb1923,2597,1314
18,31Mar1923,3042,2151
19,30Apr1923,4419,4202
20,31May1923,12430,6023
21,30Jun1923,16069,8358
22,31Jul1923,17471,8724
23,31Aug1923,13834,8111
24,30Sep1923,5748,6366
25,31Oct1923,4230,6386
26,30Nov1923,3057,6104
27,31Dec1923,1695,4564
28,31Jan1924,1439,584
29,29Feb1924,2357,67
30,31Mar1924,1653,446
31,30Apr1924,3588,1943
32,31May1924,7904,1932
33,30Jun1924,10327,2641
34,31Jul1924,10695,2765
35,31Aug1924,8516,2305
36,30Sep1924,4192,723
37,31Oct1924,2375,1300
38,30Nov1924,1941,1015
39,31Dec1924,853,768
40,31Jan1925,844,62
41,28Feb1925,1434,63
42,31Mar1925,2172,669
43,30Apr1925,4478,2489
44,31May1925,10165,3779
45,30Jun1925,15407,5518
46,31Jul1925,16649,5895
47,31Aug1925,12980,5104
48,30Sep1925,6037,3855
49,31Oct1925,4321,4114
50,30Nov1925,2794,3683
51,31Dec1925,1515,2706
52,31Jan1926,1304,445
53,28Feb1926,2262,197
54,31Mar1926,2036,993
55,30Apr1926,3222,2133
56,31May1926,9164,4154
57,30Jun1926,12591,6057
58,31Jul1926,12592,6174
59,31Aug1926,9850,5372
60,30Sep1926,5168,4301
61,31Oct1926,3138,3892
62,30Nov1926,1993,3517
63,31Dec1926,1179,2832
64,31Jan1927,852,880
65,28Feb1927,1662,986
66,31Mar1927,2488,2250
67,30Apr1927,5612,4613
68,31May1927,12163,6062
69,30Jun1927,15428,8954
70,31Jul1927,17610,9266
71,31Aug1927,13765,8852
72,30Sep1927,6662,7626
73,31Oct1927,3915,6510
74,30Nov1927,2728,6440
75,31Dec1927,1538,4420
76,31Jan1928,1470,902
77,29Feb1928,2396,404
78,31Mar1928,2263,524
79,30Apr1928,5120,4430
80,31May1928,12161,6021
81,30Jun1928,15653,7894
82,31Jul1928,17081,8254
83,31Aug1928,12470,7544
84,30Sep1928,6510,6420
85,31Oct1928,4071,6259
86,30Nov1928,2643,5420
87,31Dec1928,1506,4496
88,31Jan1929,1537,667
89,28Feb1929,2409,82
90,31Mar1929,1546,649
91,30Apr1929,3690,3491
92,31May1929,8951,4040
93,30Jun1929,9580,4920
94,31Jul1929,10428,5734
95,31Aug1929,8491,4833
96,30Sep1929,4616,2310
97,31Oct1929,3261,1720
98,30Nov1929,2378,868
99,31Dec1929,770,3821
100,31Jan1930,619,494
101,28Feb1930,1359,63
102,31Mar1930,1710,276
103,30Apr1930,3790,2063
104,31May1930,8941,3084
105,30Jun1930,12326,4129
106,31Jul1930,12454,4077
107,31Aug1930,9849,3456
108,30Sep1930,4892,2639
109,31Oct1930,3482,2963
110,30Nov1930,2314,2775
111,31Dec1930,1261,2030
112,31Jan1931,835,604
113,28Feb1931,1640,267
114,31Mar1931,1711,1161
115,30Apr1931,3378,3014
116,31May1931,6928,3372
117,30Jun1931,9206,4875
118,31Jul1931,10093,5138
119,31Aug1931,8060,4480
120,30Sep1931,3977,3210
121,31Oct1931,2586,1513
122,30Nov1931,1778,1443
123,31Dec1931,771,4209
124,31Jan1932,705,63
125,29Feb1932,1288,136
126,31Mar1932,1312,624
127,30Apr1932,2988,3302
128,31May1932,6779,3349
129,30Jun1932,10481,5318
130,31Jul1932,11106,5427
131,31Aug1932,8654,4740
132,30Sep1932,4132,3794
133,31Oct1932,2853,4088
134,30Nov1932,1977,3759
135,31Dec1932,978,2503
136,31Jan1933,795,507
137,28Feb1933,1473,185
138,31Mar1933,1472,970
139,30Apr1933,3271,4362
140,31May1933,7263,4640
141,30Jun1933,10326,6617
142,31Jul1933,10720,6573
143,31Aug1933,8516,5577
144,30Sep1933,4115,3803
145,31Oct1933,2603,1477
146,30Nov1933,2108,1810
147,31Dec1933,852,4988
148,31Jan1934,877,683
149,28Feb1934,1473,68
150,31Mar1934,1271,482
151,30Apr1934,3054,1960
152,31May1934,7303,2130
153,30Jun1934,10151,3169
154,31Jul1934,10765,3405
155,31Aug1934,8578,2892
156,30Sep1934,4170,1503
157,31Oct1934,2637,592
158,30Nov1934,1748,1842
159,31Dec1934,1009,1344
160,31Jan1935,795,69
161,28Feb1935,1480,135
162,31Mar1935,1794,467
163,30Apr1935,3326,2626
164,31May1935,10709,6462
165,30Jun1935,15411,9635
166,31Jul1935,16135,9723
167,31Aug1935,12817,9287
168,30Sep1935,6095,7976
169,31Oct1935,3738,7110
170,30Nov1935,2767,6909
171,31Dec1935,1468,4611
172,31Jan1936,1293,506
173,29Feb1936,2175,155
174,31Mar1936,2444,1949
175,30Apr1936,5202,4440
176,31May1936,11648,5777
177,30Jun1936,15351,6969
178,31Jul1936,17288,8761
179,31Aug1936,13694,7989
180,30Sep1936,6394,6717
181,31Oct1936,4368,6517
182,30Nov1936,3179,5896
183,31Dec1936,1601,4665
184,31Jan1937,1454,514
185,28Feb1937,2463,68
186,31Mar1937,1950,775
187,30Apr1937,4797,4630
188,31May1937,11209,6323
189,30Jun1937,15350,8130
190,31Jul1937,16864,8728
191,31Aug1937,13349,8011
192,30Sep1937,6335,6840
193,31Oct1937,3885,6082
194,30Nov1937,2556,5610
195,31Dec1937,1440,4665
196,31Jan1938,1420,993
197,28Feb1938,2421,1341
198,31Mar1938,2882,2265
199,30Apr1938,5799,4289
200,31May1938,12538,6613
201,30Jun1938,17116,9917
202,31Jul1938,18948,10024
203,31Aug1938,15250,9587
204,30Sep1938,6542,7834
205,31Oct1938,4140,6920
206,30Nov1938,3209,7096
207,31Dec1938,1852,4844
208,31Jan1939,1729,1401
209,28Feb1939,3052,1063
210,31Mar1939,2642,2039
211,30Apr1939,5100,5530
212,31May1939,9482,5443
213,30Jun1939,12938,8263
214,31Jul1939,13153,8554
215,31Aug1939,10429,7904
216,30Sep1939,5068,5683
217,31Oct1939,3477,4578
218,30Nov1939,2694,4326
219,31Dec1939,1260,5587
220,31Jan1940,947,226
221,29Feb1940,1727,66
222,31Mar1940,2349,1800
223,30Apr1940,5403,4276
224,31May1940,11443,5529
225,30Jun1940,16412,7895
226,31Jul1940,17904,8261
227,31Aug1940,14214,7514
228,30Sep1940,6696,6379
229,31Oct1940,3972,5654
230,30Nov1940,2906,5465
231,31Dec1940,1492,4032
232,31Jan1941,1517,625
233,28Feb1941,2546,1101
234,31Mar1941,2568,1996
235,30Apr1941,4579,3739
236,31May1941,11073,6153
237,30Jun1941,16858,9753
238,31Jul1941,18747,9914
239,31Aug1941,15141,9445
240,30Sep1941,6905,8086
241,31Oct1941,4108,6794
242,30Nov1941,3016,6848
243,31Dec1941,1558,4303
244,31Jan1942,1607,1544
245,28Feb1942,2668,1310
246,31Mar1942,2749,2001
247,30Apr1942,4026,3411
248,31May1942,11869,5671
249,30Jun1942,17244,9156
250,31Jul1942,19027,9248
251,31Aug1942,15337,8779
252,30Sep1942,6915,7526
253,31Oct1942,4540,6940
254,30Nov1942,3021,6365
255,31Dec1942,1639,4229
256,31Jan1943,1660,1061
257,28Feb1943,2739,1359
258,31Mar1943,2699,1911
259,30Apr1943,5372,4174
260,31May1943,12748,6295
261,30Jun1943,16563,9302
262,31Jul1943,18453,9451
263,31Aug1943,14914,9049
264,30Sep1943,6859,7804
265,31Oct1943,4556,7181
266,30Nov1943,3142,6765
267,31Dec1943,1726,4541
268,31Jan1944,1604,527
269,29Feb1944,2573,61
270,31Mar1944,2209,685
271,30Apr1944,4716,3860
272,31May1944,9632,4797
273,30Jun1944,13643,6611
274,31Jul1944,14654,6523
275,31Aug1944,11480,5688
276,30Sep1944,5680,4815
277,31Oct1944,3630,4281
278,30Nov1944,2354,3937
279,31Dec1944,1304,3322
280,31Jan1945,1171,808
281,28Feb1945,2041,253
282,31Mar1945,2389,1405
283,30Apr1945,5670,4890
284,31May1945,11242,5787
285,30Jun1945,15873,8506
286,31Jul1945,17532,8839
287,31Aug1945,13892,8194
288,30Sep1945,6632,7006
289,31Oct1945,3597,6034
290,30Nov1945,2749,5864
291,31Dec1945,1433,4383
292,31Jan1946,1542,1209
293,28Feb1946,2437,1159
294,31Mar1946,2632,1697
295,30Apr1946,6400,5019
296,31May1946,12166,5800
297,30Jun1946,16252,8213
298,31Jul1946,17138,8415
299,31Aug1946,13670,7865
300,30Sep1946,6422,6633
301,31Oct1946,4282,6400
302,30Nov1946,2847,5863
303,31Dec1946,1472,4455
304,31Jan1947,1591,799
305,28Feb1947,2455,126
306,31Mar1947,1847,692
307,30Apr1947,4362,3859
308,31May1947,11087,5032
309,30Jun1947,13988,6477
310,31Jul1947,15451,6599
311,31Aug1947,12100,4192
312,30Sep1947,6048,4434
313,31Oct1947,3319,4725
314,30Nov1947,2623,4680
315,31Dec1947,1432,3892
316,31Jan1948,1295,648
317,29Feb1948,2138,66
318,31Mar1948,2219,202
319,30Apr1948,3694,1144
320,31May1948,9288,5180
321,30Jun1948,14637,6516
322,31Jul1948,16672,8838
323,31Aug1948,13255,7871
324,30Sep1948,6144,6518
325,31Oct1948,3988,6210
