date,sutter,yolo
1979-01-31,TRUE,TRUE
1979-02-28,TRUE,TRUE
1979-03-31,TRUE,TRUE
1979-04-30,FALSE,TRUE
1979-05-31,TRUE,TRUE
1979-06-30,FALSE,TRUE
1979-07-31,FALSE,FALSE
1979-08-31,FALSE,FALSE
1979-09-30,TRUE,TRUE
1979-10-31,TRUE,TRUE
1979-11-30,TRUE,TRUE
1979-12-31,TRUE,TRUE
1980-01-31,TRUE,TRUE
1980-02-29,TRUE,TRUE
1980-03-31,TRUE,TRUE
1980-04-30,FALSE,TRUE
1980-05-31,TRUE,TRUE
1980-06-30,FALSE,TRUE
1980-07-31,FALSE,FALSE
1980-08-31,FALSE,FALSE
1980-09-30,TRUE,TRUE
1980-10-31,TRUE,TRUE
1980-11-30,TRUE,TRUE
1980-12-31,TRUE,TRUE
1981-01-31,TRUE,TRUE
1981-02-28,TRUE,TRUE
1981-03-31,TRUE,TRUE
1981-04-30,FALSE,TRUE
1981-05-31,FALSE,TRUE
1981-06-30,FALSE,TRUE
1981-07-31,FALSE,FALSE
1981-08-31,FALSE,TRUE
1981-09-30,FALSE,TRUE
1981-10-31,TRUE,TRUE
1981-11-30,TRUE,TRUE
1981-12-31,TRUE,TRUE
1982-01-31,TRUE,TRUE
1982-02-28,TRUE,TRUE
1982-03-31,TRUE,TRUE
1982-04-30,TRUE,TRUE
1982-05-31,TRUE,TRUE
1982-06-30,FALSE,TRUE
1982-07-31,FALSE,FALSE
1982-08-31,FALSE,TRUE
1982-09-30,TRUE,TRUE
1982-10-31,TRUE,TRUE
1982-11-30,TRUE,TRUE
1982-12-31,TRUE,TRUE
1983-01-31,TRUE,TRUE
1983-02-28,TRUE,TRUE
1983-03-31,TRUE,TRUE
1983-04-30,TRUE,TRUE
1983-05-31,TRUE,TRUE
1983-06-30,TRUE,TRUE
1983-07-31,FALSE,FALSE
1983-08-31,FALSE,FALSE
1983-09-30,FALSE,TRUE
1983-10-31,TRUE,TRUE
1983-11-30,TRUE,TRUE
1983-12-31,TRUE,TRUE
1984-01-31,TRUE,TRUE
1984-02-29,TRUE,TRUE
1984-03-31,TRUE,TRUE
1984-04-30,FALSE,TRUE
1984-05-31,FALSE,TRUE
1984-06-30,FALSE,TRUE
1984-07-31,FALSE,FALSE
1984-08-31,FALSE,FALSE
1984-09-30,TRUE,TRUE
1984-10-31,TRUE,TRUE
1984-11-30,TRUE,TRUE
1984-12-31,TRUE,TRUE
1985-01-31,TRUE,TRUE
1985-02-28,TRUE,TRUE
1985-03-31,TRUE,TRUE
1985-04-30,FALSE,TRUE
1985-05-31,FALSE,TRUE
1985-06-30,FALSE,TRUE
1985-07-31,FALSE,FALSE
